seq,month_type,category,format,creation_method,note,slip_date,slip_number,slip_summary,branch_number,debit_department,debit_department_name,debit_account,debit_account_name,debit_subaccount,debit_subaccount_name,debit_amount,debit_tax_code,debit_tax_industry,debit_tax_rate,debit_fund_type,debit_optional_item_1,debit_optional_item_2,credit_department,credit_department_name,credit_account,credit_account_name,credit_subaccount,credit_subaccount_name,credit_amount,credit_tax_code,credit_tax_industry,credit_tax_rate,credit_fund_type,credit_optional_item_1,credit_optional_item_2,summary,due_date,voucher_number,input_machine,input_user,input_app,input_company,input_date
106,0,0,3,0,0,20220825,14,,1,,,111,三菱東京UFJ当座預金,,," 469,150 ",0,,,,,,,,999,諸口,,," 469,150 ",0,,,,,,㈱縄文式､売掛回収,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
107,0,0,3,0,0,20220825,14,,2,,,512,支払手数料,,, 660 ,32,,10,56,,,,,999,諸口,,, 660 ,0,,,,,,㈱縄文式､振込料,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
108,0,0,3,0,0,20220825,14,,3,,,999,諸口,,," 469,810 ",0,,,,,,,,131,売掛金,,," 469,810 ",0,,,2,,,㈱縄文式､振込入金,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
109,0,0,4,0,0,20220825,15,,1,,,523,通信費,,," 5,896 ",32,,10,56,,,,,110,城北信当座預金,,," 5,896 ",0,,,,,,NTTﾌｧｲﾅﾝｽ､電話料金,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,20221005
110,0,0,4,0,0,20220825,16,,1,,,523,通信費,,," 4,003 ",32,,10,56,,,,,111,三菱東京UFJ当座預金,,," 4,003 ",0,,,,,,NTTﾌｧｲﾅﾝｽ､携帯電話料,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,20221005
111,0,0,4,0,0,20220831,17,,1,,,529,修繕費,,," 4,840 ",32,,10,56,,,,,111,三菱東京UFJ当座預金,,," 4,840 ",0,,,,,,㈱大塚商会､保守料,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20221008
112,0,0,4,0,0,20220831,18,,1,,,538,雑費,,," 19,800 ",32,,10,56,,,,,110,城北信当座預金,,," 19,800 ",0,,,,,,ＰＹＫカーゴ､ﾊﾟｿｺﾝ他処分,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,20221005
113,0,0,4,0,0,20220905,1,,1,,,204,未払金,,," 2,000,000 ",0,,,67,,,,,110,城北信当座預金,,," 2,000,000 ",0,,,,,,鈴木一郎､退職金,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
114,0,0,4,0,0,20220905,2,,1,,,204,未払金,,," 2,000,000 ",0,,,67,,,,,110,城北信当座預金,,," 2,000,000 ",0,,,,,,山田花子､退職金,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
115,0,0,4,0,0,20220905,3,,1,,,208,預り金,,," 2,268 ",0,,,68,,,,,100,現金,,," 2,268 ",0,,,,,,麹町税務署､源泉所得税納付,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
116,0,0,3,0,0,20220912,4,,1,,,512,支払手数料,,," 264,000 ",32,,10,56,,,,,999,諸口,,," 264,000 ",0,,,,,,大田コンサル､顧問料･決算料,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
117,0,0,3,0,0,20220912,4,,2,,,999,諸口,,," 239,496 ",0,,,,,,,,110,城北信当座預金,,," 239,496 ",0,,,,,,大田コンサル､顧問料･決算料,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
118,0,0,3,0,0,20220912,4,,3,,,999,諸口,,," 24,504 ",0,,,,,,,,208,預り金,,," 24,504 ",0,,,4,,,大田コンサル､源泉所得税,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
119,0,0,4,0,0,20220915,5,,1,,,110,城北信当座預金,,, 224 ,0,,,,,,,,604,雑収入,,, 224 ,0,,,5,,,麹町税務署､所得税還付金,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
120,0,0,4,0,0,20220922,6,,1,,,523,通信費,,," 6,102 ",32,,10,56,,,,,100,現金,,," 6,102 ",0,,,,,,NTTﾌｧｲﾅﾝｽ､電話料金,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,20221026
121,0,0,4,0,0,20220922,7,,1,,,208,預り金,,," 24,504 ",0,,,68,,,,,100,現金,,," 24,504 ",0,,,,,,麹町税務署､源泉所得税納付,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
122,0,0,4,0,0,20220930,8,,1,,,529,修繕費,,," 4,840 ",32,,10,56,,,,,111,三菱東京UFJ当座預金,,," 4,840 ",0,,,,,,㈱大塚商会､保守料,,,ISOBE-PC01,PC03,財務会計R4,北信産業 株式会社,20221101
123,0,0,4,0,0,20220901,9,,1,,,522,旅費・交通費,,, 900 ,32,,10,56,,,,,100,現金,,, 900 ,0,,,,,,8/29実用興業､ﾀｸｼｰ代,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,20221026
124,0,0,4,0,0,20220909,10,,1,,,522,旅費・交通費,,, 900 ,32,,10,56,,,,,100,現金,,, 900 ,0,,,,,,8/29実用興業､ﾀｸｼｰ代,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,20221026
125,0,0,4,0,0,20220909,11,,1,,,522,旅費・交通費,,, 900 ,32,,10,56,,,,,100,現金,,, 900 ,0,,,,,,日本交通､ﾀｸｼｰ代,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
126,0,0,4,0,0,20220921,12,,1,,,522,旅費・交通費,,, 900 ,32,,10,56,,,,,100,現金,,, 900 ,0,,,,,,東京興業､ﾀｸｼｰ代,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
127,0,0,4,0,0,20221004,1,,1,,,512,支払手数料,,, 880 ,32,,10,56,,,,,100,現金,,, 880 ,0,,,,,,城北信金､振込料,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,20221104
128,0,0,4,0,0,20221019,2,,1,,,512,支払手数料,,, 880 ,32,,10,56,,,,,100,現金,,, 880 ,0,,,,,,城北信金､振込料,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,20221104
129,0,0,4,0,0,20221004,3,,1,,,529,修繕費,,," 74,877 ",32,,10,56,,,,,110,城北信当座預金,,," 74,877 ",0,,,,,,日本メディアシステム㈱､ＮＴＴ電話機でんえもん工事代,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,20221104
130,0,0,3,0,0,20221012,4,,1,,,512,支払手数料,,," 198,000 ",32,,10,56,,,,,999,諸口,,," 198,000 ",0,,,,,,大田コンサル､会社清算事務分,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
131,0,0,3,0,0,20221012,4,,2,,,999,諸口,,," 179,622 ",0,,,,,,,,110,城北信当座預金,,," 179,622 ",0,,,,,,大田コンサル､会社清算事務分,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
132,0,0,3,0,0,20221012,4,,3,,,999,諸口,,," 18,378 ",0,,,,,,,,208,預り金,,," 18,378 ",0,,,4,,,大田コンサル､源泉所得税,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
133,0,0,4,0,0,20221017,5,,1,,,100,現金,,," 634,606 ",0,,,,,,,,111,三菱東京UFJ当座預金,,," 634,606 ",0,,,,,,三菱UFJ銀行､当座預金解約,,,ISOBE-PC01,PC03,財務会計R4,北信産業 株式会社,20221111
134,0,0,4,0,0,20221019,6,,1,,,538,雑費,,," 50,000 ",32,,10,56,,,,,100,現金,,," 50,000 ",0,,,,,,北海道太郎､残務整理諸経費,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
135,0,0,4,0,0,20221019,7,,1,,,110,城北信当座預金,,," 505,456 ",0,,,,,,,,100,現金,,," 505,456 ",0,,,,,,現金預入,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,20221104
136,0,0,4,0,0,20221019,8,,1,,,208,預り金,,," 18,378 ",0,,,68,,,,,100,現金,,," 18,378 ",0,,,,,,麹町税務署､源泉所得税納付,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
137,0,0,3,0,0,20221019,9,,1,,,999,諸口,,," 56,688 ",0,,,,,,,,100,現金,,," 56,688 ",0,,,,,,ＸＹＺ司法書士､会社清算結了登記手数料,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
138,0,0,3,0,0,20221019,9,,2,,,512,支払手数料,,," 57,000 ",32,,10,56,,,,,999,諸口,,," 57,000 ",0,,,,,,ＸＹＺ司法書士､会社清算結了登記手数料,,,WS017,PC02,財務会計R4,北信産業 株式会社,20230415
139,0,0,3,0,0,20221019,9,,3,,,999,諸口,,," 4,084 ",0,,,,,,,,208,預り金,,," 4,084 ",0,,,4,,,ＸＹＺ司法書士､源泉所得税,,,WS017,PC02,財務会計R4,北信産業 株式会社,20230415
140,0,0,3,0,0,20221019,9,,4,,,526,租税公課,,," 3,772 ",0,,,59,,,,,999,諸口,,," 3,772 ",0,,,,,,ＸＹＺ司法書士､登記法定費用,,,WS017,PC02,財務会計R4,北信産業 株式会社,20230415
141,0,0,4,0,0,20221019,10,,1,,,512,支払手数料,,, 880 ,32,,10,56,,,,,100,現金,,, 880 ,0,,,,,,城北信金､振込料,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,20221104
142,0,0,4,0,0,20221019,11,,1,,,208,預り金,,," 4,084 ",0,,,68,,,,,100,現金,,," 4,084 ",0,,,,,,麹町税務署､源泉所得税納付,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,20230415
143,0,0,4,0,0,20221027,12,,1,,,100,現金,,," 17,052,250 ",0,,,,,,,,110,城北信当座預金,,," 17,052,250 ",0,,,,,,城北信金､当座預金解約引出,,,ISOBE-PC01,PC03,財務会計R4,北信産業 株式会社,20221111
144,0,0,4,0,0,20221031,13,,1,,,202,借入金,7,その他の借入金," 432,104 ",0,,,84,,,,,100,現金,,," 432,104 ",0,,,,,,北海道太郎､借入金返済,,,WS017,PC02,財務会計R4,北信産業 株式会社,20230415
145,0,0,4,0,0,20221031,14,,1,,,204,未払金,,," 379,918 ",0,,,67,,,,,100,現金,,," 379,918 ",0,,,,,,北海道太郎､過年度光熱費等精算,,,WS017,PC02,財務会計R4,北信産業 株式会社,20230415
146,0,0,3,0,0,20221031,15,,1,,,701,固定資産譲渡収入,,," 863,641 ",0,,,7,,,,,999,諸口,,," 863,641 ",0,,,,,,車両･備品売却取引､純額処理振替,,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
147,0,0,3,0,0,20221031,15,,2,,,999,諸口,,, 7 ,0,,,,,,,,712,固定資産譲渡費用,,, 7 ,0,,,62,,,車両･備品売却取引､純額処理振替,,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
148,0,0,3,0,0,20221031,15,,3,,,999,諸口,,," 863,634 ",0,,,,,,,,700,固定資産売却益,,," 863,634 ",0,,,7,,,車両･備品売却取引､純額処理振替,,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
149,0,0,4,1,0,20220731,76,,0,,,810,売上高,,," 102,790 ",1,,10,1,,,,,999,諸口,,," 102,790 ",0,,,,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
150,0,0,4,1,0,20220731,76,,0,,,999,諸口,,," 102,790 ",0,,,,,,,,214,仮受消費税,,," 102,790 ",1,,10,10,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
151,0,0,4,1,0,20220731,77,,0,,,999,諸口,,," 2,013 ",0,,,,,,,,461,仕入高,,," 2,013 ",31,,10,41,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
152,0,0,4,1,0,20220731,77,,0,,,174,仮払消費税,,," 2,013 ",31,,10,66,,,,,999,諸口,,," 2,013 ",0,,,,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
153,0,0,4,1,0,20220731,78,,0,,,999,諸口,,," 1,149 ",0,,,,,,,,525,消耗品費,,," 1,149 ",31,,10,56,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
154,0,0,4,1,0,20220731,78,,0,,,174,仮払消費税,,," 1,149 ",31,,10,66,,,,,999,諸口,,," 1,149 ",0,,,,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
155,0,0,4,1,0,20220731,79,,0,,,999,諸口,,," 1,300 ",0,,,,,,,,528,地代・家賃,,," 1,300 ",31,,10,55,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
156,0,0,4,1,0,20220731,79,,0,,,174,仮払消費税,,," 1,300 ",31,,10,66,,,,,999,諸口,,," 1,300 ",0,,,,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
157,0,0,4,1,0,20220731,80,,0,,,999,諸口,,," 10,565 ",0,,,,,,,,529,修繕費,,," 10,565 ",31,,10,56,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
158,0,0,4,1,0,20220731,80,,0,,,174,仮払消費税,,," 10,565 ",31,,10,66,,,,,999,諸口,,," 10,565 ",0,,,,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
159,0,0,4,1,0,20220731,81,,0,,,999,諸口,,," 1,111 ",0,,,,,,,,521,接待交際費,1,交際費," 1,111 ",31,,K8.0,56,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
160,0,0,4,1,0,20220731,81,,0,,,174,仮払消費税,,," 1,111 ",31,,K8.0,66,,,,,999,諸口,,," 1,111 ",0,,,,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
161,0,0,4,1,0,20220731,82,,0,,,999,諸口,,, 810 ,0,,,,,,,,521,接待交際費,2,少額交際費, 810 ,31,,10,56,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
162,0,0,4,1,0,20220731,82,,0,,,174,仮払消費税,,, 810 ,31,,10,66,,,,,999,諸口,,, 810 ,0,,,,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
163,0,0,4,1,0,20220731,83,,0,,,999,諸口,,," 1,182 ",0,,,,,,,,522,旅費・交通費,,," 1,182 ",31,,10,56,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
164,0,0,4,1,0,20220731,83,,0,,,174,仮払消費税,,," 1,182 ",31,,10,66,,,,,999,諸口,,," 1,182 ",0,,,,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
165,0,0,4,1,0,20220731,84,,0,,,999,諸口,,, 876 ,0,,,,,,,,523,通信費,,, 876 ,31,,10,56,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
166,0,0,4,1,0,20220731,84,,0,,,174,仮払消費税,,, 876 ,31,,10,66,,,,,999,諸口,,, 876 ,0,,,,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
167,0,0,4,1,0,20220731,85,,0,,,999,諸口,,," 19,607 ",0,,,,,,,,512,支払手数料,,," 19,607 ",31,,10,56,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
168,0,0,4,1,0,20220731,85,,0,,,174,仮払消費税,,," 19,607 ",31,,10,66,,,,,999,諸口,,," 19,607 ",0,,,,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
169,0,0,4,1,0,20220731,86,,0,,,701,固定資産譲渡収入,,," 86,364 ",1,,10,7,,,,,999,諸口,,," 86,364 ",0,,,,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
170,0,0,4,1,0,20220731,86,,0,,,999,諸口,,," 86,364 ",0,,,,,,,,214,仮受消費税,,," 86,364 ",1,,10,10,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
171,0,0,4,1,0,20220831,19,,0,,,999,諸口,,, 440 ,0,,,,,,,,529,修繕費,,, 440 ,31,,10,56,,,[  8月-  8月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
172,0,0,4,1,0,20220831,19,,0,,,174,仮払消費税,,, 440 ,31,,10,66,,,,,999,諸口,,, 440 ,0,,,,,,[  8月-  8月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
173,0,0,4,1,0,20220831,20,,0,,,999,諸口,,, 245 ,0,,,,,,,,522,旅費・交通費,,, 245 ,31,,10,56,,,[  8月-  8月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
174,0,0,4,1,0,20220831,20,,0,,,174,仮払消費税,,, 245 ,31,,10,66,,,,,999,諸口,,, 245 ,0,,,,,,[  8月-  8月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
175,0,0,4,1,0,20220831,21,,0,,,999,諸口,,," 1,264 ",0,,,,,,,,523,通信費,,," 1,264 ",31,,10,56,,,[  8月-  8月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
176,0,0,4,1,0,20220831,21,,0,,,174,仮払消費税,,," 1,264 ",31,,10,66,,,,,999,諸口,,," 1,264 ",0,,,,,,[  8月-  8月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
177,0,0,4,1,0,20220831,22,,0,,,999,諸口,,," 2,422 ",0,,,,,,,,512,支払手数料,,," 2,422 ",31,,10,56,,,[  8月-  8月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
178,0,0,4,1,0,20220831,22,,0,,,174,仮払消費税,,," 2,422 ",31,,10,66,,,,,999,諸口,,," 2,422 ",0,,,,,,[  8月-  8月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
179,0,0,4,1,0,20220831,23,,0,,,999,諸口,,," 1,800 ",0,,,,,,,,538,雑費,,," 1,800 ",31,,10,56,,,[  8月-  8月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
180,0,0,4,1,0,20220831,23,,0,,,174,仮払消費税,,," 1,800 ",31,,10,66,,,,,999,諸口,,," 1,800 ",0,,,,,,[  8月-  8月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
181,0,0,4,1,0,20220930,14,,0,,,999,諸口,,, 440 ,0,,,,,,,,529,修繕費,,, 440 ,31,,10,56,,,[  9月-  9月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
182,0,0,4,1,0,20220930,14,,0,,,174,仮払消費税,,, 440 ,31,,10,66,,,,,999,諸口,,, 440 ,0,,,,,,[  9月-  9月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
183,0,0,4,1,0,20220930,15,,0,,,999,諸口,,, 327 ,0,,,,,,,,522,旅費・交通費,,, 327 ,31,,10,56,,,[  9月-  9月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
184,0,0,4,1,0,20220930,15,,0,,,174,仮払消費税,,, 327 ,31,,10,66,,,,,999,諸口,,, 327 ,0,,,,,,[  9月-  9月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
185,0,0,4,1,0,20220930,16,,0,,,999,諸口,,, 555 ,0,,,,,,,,523,通信費,,, 555 ,31,,10,56,,,[  9月-  9月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
186,0,0,4,1,0,20220930,16,,0,,,174,仮払消費税,,, 555 ,31,,10,66,,,,,999,諸口,,, 555 ,0,,,,,,[  9月-  9月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
187,0,0,4,1,0,20220930,17,,0,,,999,諸口,,," 24,000 ",0,,,,,,,,512,支払手数料,,," 24,000 ",31,,10,56,,,[  9月-  9月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
188,0,0,4,1,0,20220930,17,,0,,,174,仮払消費税,,," 24,000 ",31,,10,66,,,,,999,諸口,,," 24,000 ",0,,,,,,[  9月-  9月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
189,0,0,4,1,0,20221031,16,,0,,,999,諸口,,," 6,807 ",0,,,,,,,,529,修繕費,,," 6,807 ",31,,10,56,,,[ 10月- 10月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
190,0,0,4,1,0,20221031,16,,0,,,174,仮払消費税,,," 6,807 ",31,,10,66,,,,,999,諸口,,," 6,807 ",0,,,,,,[ 10月- 10月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
191,0,0,4,1,0,20221031,17,,0,,,999,諸口,,," 23,422 ",0,,,,,,,,512,支払手数料,,," 23,422 ",31,,10,56,,,[ 10月- 10月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
192,0,0,4,1,0,20221031,17,,0,,,174,仮払消費税,,," 23,422 ",31,,10,66,,,,,999,諸口,,," 23,422 ",0,,,,,,[ 10月- 10月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
193,0,0,4,1,0,20221031,18,,0,,,999,諸口,,," 4,545 ",0,,,,,,,,538,雑費,,," 4,545 ",31,,10,56,,,[ 10月- 10月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
194,0,0,4,1,0,20221031,18,,0,,,174,仮払消費税,,," 4,545 ",31,,10,66,,,,,999,諸口,,," 4,545 ",0,,,,,,[ 10月- 10月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,20221111
195,0,0,3,0,0,20221031,19,,1,,,214,仮受消費税,,," 189,154 ",0,,,10,,,,,999,諸口,,," 189,154 ",0,,,,,,当期消費税精算処理,,,isobe-pc02,PC02,財務会計R4,北信産業 株式会社,20221111
196,0,0,3,0,0,20221031,19,,2,,,999,諸口,,," 104,880 ",0,,,,,,,,174,仮払消費税,,," 104,880 ",0,,,66,,,当期消費税精算処理,,,isobe-pc02,PC02,財務会計R4,北信産業 株式会社,20221111
197,0,0,3,0,0,20221031,19,,3,,,999,諸口,,," 84,100 ",0,,,,,,,,209,未払消費税等,,," 84,100 ",0,,,67,,,麹町税務署､当期確定消費税等,,,isobe-pc02,PC02,財務会計R4,北信産業 株式会社,20230415
198,0,0,3,0,0,20221031,19,,4,,,999,諸口,,, 174 ,0,,,,,,,,604,雑収入,,, 174 ,0,,,5,,,消費税端数受入金,,,isobe-pc02,PC02,財務会計R4,北信産業 株式会社,20221111
199,0,0,4,0,0,20221031,20,,1,,,800,法人税等充当額,,," 23,300 ",0,,,63,,,,,211,法人税等充当金,,," 23,300 ",0,,,63,,,東京都､当期確定都民税,,,isobe-pc02,PC02,財務会計R4,北信産業 株式会社,20221111
200,0,0,4,0,0,20221031,21,,1,,,713,役員退職金,,," 16,094,166 ",0,,,62,,,,,100,現金,,," 16,094,166 ",0,,,,,,北海道太郎､退職慰労金払い,,,isobe-pc02,PC02,財務会計R4,北信産業 株式会社,20230415
