seq,part,UNID,kind,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,term,desc,card,n,code,level,ABIEcode,XPath,d1,d2,d3,d4,SemPath
169,ヘッダ部,UN01005857,ABIE,,,,,,,CI_ Universal_ Communication. Details,,,,,,国際アドレスクラス,国際アドレスクラス（JP-PINTのアドレス方式に対応）,－,,,,,,,,,,
170,ヘッダ部,UN01005859,BBIE,,,,,,,,CI_ Universal_ Communication. Channel. Code,,,,,国際アドレス登録機関コード,ISOがコード表6523に登録した国際アドレス登録機関のコード（デジタル庁／JP-PINTに対応）,1..1,,JC35_3_JC23_18,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ InvoicerCITradeParty/ EndPointURICIUniversalCommunication/ ChannelCode,JC35_3_JC23,,,,/JC00/JC35_3_JC23/JC35_3_JC23_18
171,ヘッダ部,UN01005860,BBIE,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,,,請求者国際アドレス,国際アドレス登録機関が付与する国際アドレス番号（わが国ではJP-PINTアドレスとしてデジタル庁が付与する番号）,1..1,,JC35_3_JC23_19,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ InvoicerCITradeParty/ EndPointURICIUniversalCommunication/ CompleteNumber,JC35_3_JC23,,,,/JC00/JC35_3_JC23/JC35_3_JC23_19
172,ヘッダ部,UN01005917,ASBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Invoicee. CI_ Trade_ Party,,,,,,,,,インボイス文書決済／請求先グループ,請求先にかかわるグループ,0..1,1,JC36_4_JC23,1,05917_Invoicee_05756,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ InvoiceeCITradeParty,JC36_4_JC23,,,,/JC00/JC36_4_JC23
173,ヘッダ部,UN01005756,ABIE,,,,,CI_ Trade_ Party. Details,,,,,,,,請求先クラス,請求先に関する情報からなるクラス。,－,,,,,,,,,,
174,ヘッダ部,UN01005757,BBIE,,,,,,CI_ Trade_ Party. Identification. Identifier,,,,,,,請求先ID,請求を受ける企業等を表すID。,0..1,,JC36_4_JC23_01,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ InvoiceeCITradeParty/ ID,JC36_4_JC23,,,,/JC00/JC36_4_JC23/JC36_4_JC23_01
175,ヘッダ部,UN01005758,BBIE,,,,,,CI_ Trade_ Party. Global_ Identification. Identifier,,,,,,,請求先国際企業ID,企業を表す国際企業ID。ISO6523に登録された国際企業登録機関を属性で指定する。中小企業共通EDIでは法人IDの利用を推奨,0..1,,JC36_4_JC23_02,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ InvoiceeCITradeParty/ GlobalID,JC36_4_JC23,,,,/JC00/JC36_4_JC23/JC36_4_JC23_02
176,ヘッダ部,UN01005759,BBIE,,,,,,CI_ Trade_ Party. Name. Text,,,,,,,請求先名称,請求を受ける企業等の名称,0..1,,JC36_4_JC23_03,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ InvoiceeCITradeParty/ Name,JC36_4_JC23,,,,/JC00/JC36_4_JC23/JC36_4_JC23_03
177,ヘッダ部,UN01005761,ASBIE,,,,,,CI_ Trade_ Party. Defined. CI_ Trade_ Contact,,,,,,,請求先／連絡先グループ,請求先の連絡先に関するグループ,0..1,,,,,,,,,,
178,ヘッダ部,UN01005718,ABIE,,,,,,,CI_ Trade_ Contact. Details,,,,,,請求先連絡先クラス,連絡先に関する情報からなるクラス。,－,,,,,,,,,,
179,ヘッダ部,UN01005719,BBIE,,,,,,,,CI_ Trade_ Contact. Identification. Identifier,,,,,請求先部門ID,請求先の部門を表すコード。,0..1,,JC36_4_JC23_04,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ InvoiceeCITradeParty/ DefinedCITradeContact/ ID,JC36_4_JC23,,,,/JC00/JC36_4_JC23/JC36_4_JC23_04
180,ヘッダ部,UN01005720,BBIE,,,,,,,,CI_ Trade_ Contact. Person Name. Text,,,,,請求先担当名,請求先の担当者の名称,0..1,,JC36_4_JC23_05,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ InvoiceeCITradeParty/ DefinedCITradeContact/ PersonName,JC36_4_JC23,,,,/JC00/JC36_4_JC23/JC36_4_JC23_05
181,ヘッダ部,UN01005721,BBIE,,,,,,,,CI_ Trade_ Contact. Department Name. Text,,,,,請求先部門名,請求先の部門を表す名称,0..1,,JC36_4_JC23_06,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ InvoiceeCITradeParty/ DefinedCITradeContact/ DepartmentName,JC36_4_JC23,,,,/JC00/JC36_4_JC23/JC36_4_JC23_06
182,ヘッダ部,UN01005725,BBIE,,,,,,,,CI_ Trade_ Contact. Person_ Identification. Identifier,,,,,請求先担当ID,請求先個人を表すID,0..1,,JC36_4_JC23_07,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ InvoiceeCITradeParty/ DefinedCITradeContact/ PersonID,JC36_4_JC23,,,,/JC00/JC36_4_JC23/JC36_4_JC23_07
183,ヘッダ部,UN01005726,ASBIE,,,,,,,,CI_ Trade_ Contact. Telephone. CI_ Universal_ Communication,,,,,連絡先／電話情報グループ,連絡先の電話に関するグループ。,0..1,,,,,,,,,,
184,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,電話通信クラス,通信（電話）に関する情報からなるクラス。,－,,,,,,,,,,
185,ヘッダ部,UN01005860,BBIE,,,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,請求先電話番号,請求先の電話番号。,0..1,,JC36_4_JC23_08,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ InvoiceeCITradeParty/ DefinedCITradeContact/ TelephoneCIUniversalCommunication/ CompleteNumber,JC36_4_JC23,,,,/JC00/JC36_4_JC23/JC36_4_JC23_08
186,ヘッダ部,UN01005729,ASBIE,,,,,,,,CI_ Trade_ Contact. Fax. CI_ Universal_ Communication,,,,,連絡先／FAX情報グループ,連絡先のFAXに関するグループ。,0..1,,,,,,,,,,
187,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,FAX通信クラス,通信（FAX）に関する情報からなるクラス。,－,,,,,,,,,,
188,ヘッダ部,UN01005860,BBIE,,,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,請求先FAX番号,請求先のFAX番号,0..1,,JC36_4_JC23_09,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ InvoiceeCITradeParty/ DefinedCITradeContact/ FaxCIUniversalCommunication/ CompleteNumber,JC36_4_JC23,,,,/JC00/JC36_4_JC23/JC36_4_JC23_09
189,ヘッダ部,UN01005730,ASBIE,,,,,,,,CI_ Trade_ Contact. Email_ URI. CI_ Universal_ Communication,,,,,連絡先／電子メール情報グループ,連絡先の電子メールに関するグループ。,0..1,,,,,,,,,,
190,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,電子メール通信クラス,通信（電子メール）に関する情報からなるクラス。,－,,,,,,,,,,
191,ヘッダ部,UN01005858,BBIE,,,,,,,,,,CI_ Universal_ Communication. URI. Identifier,,,請求先メールアドレス,請求先の電子メールアドレス。,0..1,,JC36_4_JC23_10,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ InvoiceeCITradeParty/ DefinedCITradeContact/ EmailURICIUniversalCommunication/ URIID,JC36_4_JC23,,,,/JC00/JC36_4_JC23/JC36_4_JC23_10
192,ヘッダ部,UN01005762,ASBIE,,,,,,CI_ Trade_ Party. Postal. CI_ Trade_ Address,,,,,,,請求先／住所グループ,請求先の住所に関するグループ。,0..1,,,,,,,,,,
193,ヘッダ部,UN01005687,ABIE,,,,,,,CI_ Trade_ Address. Details,,,,,,請求先住所クラス,請求先住所に関する情報からなるクラス。,－,,,,,,,,,,
194,ヘッダ部,UN01005689,BBIE,,,,,,,,CI_ Trade_ Address. Postcode. Code,,,,,請求先郵便番号,請求先の郵便番号。,0..1,,JC36_4_JC23_11,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ InvoiceeCITradeParty/ PostalCITradeAddress/ PostcodeCode,JC36_4_JC23,,,,/JC00/JC36_4_JC23/JC36_4_JC23_11
195,ヘッダ部,UN01005692,BBIE,,,,,,,,CI_ Trade_ Address. Line One. Text,,,,,請求先住所1,請求先の住所1行目。,0..1,,JC36_4_JC23_12,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ InvoiceeCITradeParty/ PostalCITradeAddress/ LineOne,JC36_4_JC23,,,,/JC00/JC36_4_JC23/JC36_4_JC23_12
196,ヘッダ部,UN01005693,BBIE,,,,,,,,CI_ Trade_ Address. Line Two. Text,,,,,請求先住所2,請求先の住所2行目。,0..1,,JC36_4_JC23_13,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ InvoiceeCITradeParty/ PostalCITradeAddress/ LineTwo,JC36_4_JC23,,,,/JC00/JC36_4_JC23/JC36_4_JC23_13
197,ヘッダ部,UN01005694,BBIE,,,,,,,,CI_ Trade_ Address. Line Three. Text,,,,,請求先住所3,請求先の住所3行目。,0..1,,JC36_4_JC23_14,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ InvoiceeCITradeParty/ PostalCITradeAddress/ LineThree,JC36_4_JC23,,,,/JC00/JC36_4_JC23/JC36_4_JC23_14
198,ヘッダ部,UN01005700,BBIE,,,,,,,,CI_ Trade_ Address. Country. Identifier,,,,,請求先国ID,請求先の国ID。デフォルトは「JP」,1..1,,JC36_4_JC23_15,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ InvoiceeCITradeParty/ PostalCITradeAddress/ CountryID,JC36_4_JC23,,,,/JC00/JC36_4_JC23/JC36_4_JC23_15
199,ヘッダ部,UN01005765,ASBIE,,,,,,CI_ Trade_ Party. End Point_ URI. CI_ Universal_ Communication,,,,,,,送信者／国際アドレスグループ,送信者の国際アドレスグループ,0..1,,,,,,,,,,
200,ヘッダ部,UN01005857,ABIE,,,,,,,CI_ Universal_ Communication. Details,,,,,,国際アドレスクラス,国際アドレスクラス（JP-PINTのアドレス方式に対応）,－,,,,,,,,,,
201,ヘッダ部,UN01005859,BBIE,,,,,,,,CI_ Universal_ Communication. Channel. Code,,,,,国際アドレス登録機関コード,ISOがコード表6523に登録した国際アドレス登録機関のコード（デジタル庁／JP-PINTに対応）,0..1,,JC36_4_JC23_16,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ InvoiceeCITradeParty/ EndPointURICIUniversalCommunication/ ChannelCode,JC36_4_JC23,,,,/JC00/JC36_4_JC23/JC36_4_JC23_16
202,ヘッダ部,UN01005860,BBIE,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,,,請求先国際アドレス,国際アドレス登録機関が付与する国際アドレス番号（わが国ではJP-PINTアドレスとしてデジタル庁が付与する番号）,0..1,,JC36_4_JC23_17,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ InvoiceeCITradeParty/ EndPointURICIUniversalCommunication/ CompleteNumber,JC36_4_JC23,,,,/JC00/JC36_4_JC23/JC36_4_JC23_17
203,ヘッダ部,UN01005918,ASBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Payee. CI_ Trade_ Party,,,,,,,,,インボイス文書決済／支払先グループ,支払先にかかわる情報,0..1,1,JC37_5_JC23,1,05918_Payee_05756,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ PayeeCITradeParty,JC37_5_JC23,,,,/JC00/JC37_5_JC23
204,ヘッダ部,UN01005756,ABIE,,,,,CI_ Trade_ Party. Details,,,,,,,,支払先クラス,支払先に関する情報からなるクラス。,－,,,,,,,,,,
205,ヘッダ部,UN01005757,BBIE,,,,,,CI_ Trade_ Party. Identification. Identifier,,,,,,,支払先ID,支払先のID。,0..1,,JC37_5_JC23_01,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ PayeeCITradeParty/ ID,JC37_5_JC23,,,,/JC00/JC37_5_JC23/JC37_5_JC23_01
206,ヘッダ部,UN01005758,BBIE,,,,,,CI_ Trade_ Party. Global_ Identification. Identifier,,,,,,,支払先国際企業ID,支払先の国際企業ID。,0..1,,JC37_5_JC23_02,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ PayeeCITradeParty/ GlobalID,JC37_5_JC23,,,,/JC00/JC37_5_JC23/JC37_5_JC23_02
207,ヘッダ部,UN01005759,BBIE,,,,,,CI_ Trade_ Party. Name. Text,,,,,,,支払先名称,支払先の企業等を表す名称。,0..1,,JC37_5_JC23_03,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ PayeeCITradeParty/ Name,JC37_5_JC23,,,,/JC00/JC37_5_JC23/JC37_5_JC23_03
208,ヘッダ部,UN01005761,ASBIE,,,,,,CI_ Trade_ Party. Defined. CI_ Trade_ Contact,,,,,,,支払先／連絡先グループ,支払先の連絡先に関するグループ,0..1,,,,,,,,,,
209,ヘッダ部,UN01005718,ABIE,,,,,,,CI_ Trade_ Contact. Details,,,,,,支払先連絡先クラス,連絡先に関する情報からなるクラス。,－,,,,,,,,,,
210,ヘッダ部,UN01005719,BBIE,,,,,,,,CI_ Trade_ Contact. Identification. Identifier,,,,,支払先部門ID,支払先の支払先部門を表すID。,0..1,,JC37_5_JC23_04,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ PayeeCITradeParty/ DefinedCITradeContact/ ID,JC37_5_JC23,,,,/JC00/JC37_5_JC23/JC37_5_JC23_04
211,ヘッダ部,UN01005720,BBIE,,,,,,,,CI_ Trade_ Contact. Person Name. Text,,,,,支払先担当名,支払先個人の、文字で表現された名前。,0..1,,JC37_5_JC23_05,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ PayeeCITradeParty/ DefinedCITradeContact/ PersonName,JC37_5_JC23,,,,/JC00/JC37_5_JC23/JC37_5_JC23_05
212,ヘッダ部,UN01005721,BBIE,,,,,,,,CI_ Trade_ Contact. Department Name. Text,,,,,支払先部門名,支払先の請求部門の名称。,0..1,,JC37_5_JC23_06,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ PayeeCITradeParty/ DefinedCITradeContact/ DepartmentName,JC37_5_JC23,,,,/JC00/JC37_5_JC23/JC37_5_JC23_06
213,ヘッダ部,UN01005725,BBIE,,,,,,,,CI_ Trade_ Contact. Person_ Identification. Identifier,,,,,支払先担当ID,支払先個人を表すID,0..1,,JC37_5_JC23_07,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ PayeeCITradeParty/ DefinedCITradeContact/ PersonID,JC37_5_JC23,,,,/JC00/JC37_5_JC23/JC37_5_JC23_07
214,ヘッダ部,UN01005726,ASBIE,,,,,,,,CI_ Trade_ Contact. Telephone. CI_ Universal_ Communication,,,,,連絡先／電話情報グループ,連絡先の電話に関するグループ。,0..1,,,,,,,,,,
215,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,電話通信クラス,通信（電話）に関する情報からなるクラス。,－,,,,,,,,,,
216,ヘッダ部,UN01005860,BBIE,,,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,支払先電話番号,支払先の電話番号。,0..1,,JC37_5_JC23_08,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ PayeeCITradeParty/ DefinedCITradeContact/ TelephoneCIUniversalCommunication/ CompleteNumber,JC37_5_JC23,,,,/JC00/JC37_5_JC23/JC37_5_JC23_08
217,ヘッダ部,UN01005729,ASBIE,,,,,,,,CI_ Trade_ Contact. Fax. CI_ Universal_ Communication,,,,,連絡先／FAX情報グループ,連絡先のFAXに関するグループ。,0..1,,,,,,,,,,
218,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,FAX通信クラス,通信（FAX）に関する情報からなるクラス。,－,,,,,,,,,,
219,ヘッダ部,UN01005860,BBIE,,,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,支払先FAX番号,支払先のFAX番号,0..1,,JC37_5_JC23_09,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ PayeeCITradeParty/ DefinedCITradeContact/ FaxCIUniversalCommunication/ CompleteNumber,JC37_5_JC23,,,,/JC00/JC37_5_JC23/JC37_5_JC23_09
220,ヘッダ部,UN01005730,ASBIE,,,,,,,,CI_ Trade_ Contact. Email_ URI. CI_ Universal_ Communication,,,,,連絡先／電子メール情報グループ,連絡先の電子メールに関するグループ。,0..1,,,,,,,,,,
221,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,電子メール通信クラス,通信（電子メール）に関する情報からなるクラス。,－,,,,,,,,,,
222,ヘッダ部,UN01005858,BBIE,,,,,,,,,,CI_ Universal_ Communication. URI. Identifier,,,支払先メールアドレス,支払先の電子メールアドレス。,0..1,,JC37_5_JC23_10,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ PayeeCITradeParty/ DefinedCITradeContact/ EmailURICIUniversalCommunication/ URIID,JC37_5_JC23,,,,/JC00/JC37_5_JC23/JC37_5_JC23_10
223,ヘッダ部,UN01005762,ASBIE,,,,,,CI_ Trade_ Party. Postal. CI_ Trade_ Address,,,,,,,支払先／住所グループ,支払先の住所に関するグループ。,0..1,,,,,,,,,,
224,ヘッダ部,UN01005687,ABIE,,,,,,,CI_ Trade_ Address. Details,,,,,,支払先住所クラス,支払先住所に関する情報からなるクラス。,－,,,,,,,,,,
225,ヘッダ部,UN01005689,BBIE,,,,,,,,CI_ Trade_ Address. Postcode. Code,,,,,支払先郵便番号,支払先の郵便番号。,0..1,,JC37_5_JC23_11,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ PayeeCITradeParty/ PostalCITradeAddress/ PostcodeCode,JC37_5_JC23,,,,/JC00/JC37_5_JC23/JC37_5_JC23_11
226,ヘッダ部,UN01005692,BBIE,,,,,,,,CI_ Trade_ Address. Line One. Text,,,,,支払先住所1,支払先の住所1行目。,0..1,,JC37_5_JC23_12,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ PayeeCITradeParty/ PostalCITradeAddress/ LineOne,JC37_5_JC23,,,,/JC00/JC37_5_JC23/JC37_5_JC23_12
227,ヘッダ部,UN01005693,BBIE,,,,,,,,CI_ Trade_ Address. Line Two. Text,,,,,支払先住所2,支払先の住所2行目。,0..1,,JC37_5_JC23_13,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ PayeeCITradeParty/ PostalCITradeAddress/ LineTwo,JC37_5_JC23,,,,/JC00/JC37_5_JC23/JC37_5_JC23_13
228,ヘッダ部,UN01005694,BBIE,,,,,,,,CI_ Trade_ Address. Line Three. Text,,,,,支払先住所3,支払先の住所3行目。,0..1,,JC37_5_JC23_14,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ PayeeCITradeParty/ PostalCITradeAddress/ LineThree,JC37_5_JC23,,,,/JC00/JC37_5_JC23/JC37_5_JC23_14
229,ヘッダ部,UN01005700,BBIE,,,,,,,,CI_ Trade_ Address. Country. Identifier,,,,,支払先国ID,支払先の国ID。デフォルトは「JP」,1..1,,JC37_5_JC23_15,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ PayeeCITradeParty/ PostalCITradeAddress/ CountryID,JC37_5_JC23,,,,/JC00/JC37_5_JC23/JC37_5_JC23_15
230,ヘッダ部,UN01005919,ASBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Payer. CI_ Trade_ Party,,,,,,,,,インボイス文書決済／支払人グループ,支払人にかかわる情報,0..1,1,JC38_6_JC23,1,05919_Payer_05756,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ PayerCITradeParty,JC38_6_JC23,,,,/JC00/JC38_6_JC23
231,ヘッダ部,UN01005756,ABIE,,,,,CI_ Trade_ Party. Details,,,,,,,,支払人クラス,支払人に関する情報からなるクラス。,－,,,,,,,,,,
232,ヘッダ部,UN01005757,BBIE,,,,,,CI_ Trade_ Party. Identification. Identifier,,,,,,,支払人ID,支払人のID。,0..1,,JC38_6_JC23_01,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ PayerCITradeParty/ ID,JC38_6_JC23,,,,/JC00/JC38_6_JC23/JC38_6_JC23_01
233,ヘッダ部,UN01005758,BBIE,,,,,,CI_ Trade_ Party. Global_ Identification. Identifier,,,,,,,支払人国際企業ID,支払人の国際企業ID。,0..1,,JC38_6_JC23_02,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ PayerCITradeParty/ GlobalID,JC38_6_JC23,,,,/JC00/JC38_6_JC23/JC38_6_JC23_02
234,ヘッダ部,UN01005759,BBIE,,,,,,CI_ Trade_ Party. Name. Text,,,,,,,支払人名称,支払人の企業等を表す名称。,0..1,,JC38_6_JC23_03,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ PayerCITradeParty/ Name,JC38_6_JC23,,,,/JC00/JC38_6_JC23/JC38_6_JC23_03
235,ヘッダ部,UN01005761,ASBIE,,,,,,CI_ Trade_ Party. Defined. CI_ Trade_ Contact,,,,,,,支払人／連絡先グループ,支払人の連絡先に関する情報,0..1,,,,,,,,,,
236,ヘッダ部,UN01005718,ABIE,,,,,,,CI_ Trade_ Contact. Details,,,,,,支払人連絡先クラス,連絡先に関する情報からなるクラス。,－,,,,,,,,,,
237,ヘッダ部,UN01005719,BBIE,,,,,,,,CI_ Trade_ Contact. Identification. Identifier,,,,,支払人部門ID,支払人の支払人部門を表すID。,0..1,,JC38_6_JC23_04,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ PayerCITradeParty/ DefinedCITradeContact/ ID,JC38_6_JC23,,,,/JC00/JC38_6_JC23/JC38_6_JC23_04
238,ヘッダ部,UN01005720,BBIE,,,,,,,,CI_ Trade_ Contact. Person Name. Text,,,,,支払人担当名,支払人個人の、文字で表現された名前。,0..1,,JC38_6_JC23_05,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ PayerCITradeParty/ DefinedCITradeContact/ PersonName,JC38_6_JC23,,,,/JC00/JC38_6_JC23/JC38_6_JC23_05
239,ヘッダ部,UN01005721,BBIE,,,,,,,,CI_ Trade_ Contact. Department Name. Text,,,,,支払人部門名,支払人の請求部門の名称。,0..1,,JC38_6_JC23_06,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ PayerCITradeParty/ DefinedCITradeContact/ DepartmentName,JC38_6_JC23,,,,/JC00/JC38_6_JC23/JC38_6_JC23_06
240,ヘッダ部,UN01005725,BBIE,,,,,,,,CI_ Trade_ Contact. Person_ Identification. Identifier,,,,,支払人担当ID,支払人個人を表すID,0..1,,JC38_6_JC23_07,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ PayerCITradeParty/ DefinedCITradeContact/ PersonID,JC38_6_JC23,,,,/JC00/JC38_6_JC23/JC38_6_JC23_07
241,ヘッダ部,UN01005726,ASBIE,,,,,,,,CI_ Trade_ Contact. Telephone. CI_ Universal_ Communication,,,,,連絡先／電話情報グループ,連絡先の電話に関するグループ。,0..1,,,,,,,,,,
242,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,電話通信クラス,通信（電話）に関する情報からなるクラス。,－,,,,,,,,,,
243,ヘッダ部,UN01005860,BBIE,,,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,支払人電話番号,支払人の電話番号。,0..1,,JC38_6_JC23_08,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ PayerCITradeParty/ DefinedCITradeContact/ TelephoneCIUniversalCommunication/ CompleteNumber,JC38_6_JC23,,,,/JC00/JC38_6_JC23/JC38_6_JC23_08
244,ヘッダ部,UN01005729,ASBIE,,,,,,,,CI_ Trade_ Contact. Fax. CI_ Universal_ Communication,,,,,連絡先／FAX情報グループ,連絡先のFAXに関するグループ。,0..1,,,,,,,,,,
245,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,FAX通信クラス,通信（FAX）に関する情報からなるクラス。,－,,,,,,,,,,
246,ヘッダ部,UN01005860,BBIE,,,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,支払人FAX番号,支払人のFAX番号,0..1,,JC38_6_JC23_09,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ PayerCITradeParty/ DefinedCITradeContact/ FaxCIUniversalCommunication/ CompleteNumber,JC38_6_JC23,,,,/JC00/JC38_6_JC23/JC38_6_JC23_09
247,ヘッダ部,UN01005730,ASBIE,,,,,,,,CI_ Trade_ Contact. Email_ URI. CI_ Universal_ Communication,,,,,連絡先／電子メール情報グループ,連絡先の電子メールに関するグループ。,0..1,,,,,,,,,,
248,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,電子メール通信クラス,通信（電子メール）に関する情報からなるクラス。,－,,,,,,,,,,
249,ヘッダ部,UN01005858,BBIE,,,,,,,,,,CI_ Universal_ Communication. URI. Identifier,,,支払人メールアドレス,支払人の電子メールアドレス。,0..1,,JC38_6_JC23_10,,,/ SMEInvoice/ CIIHSupplyChainTradeTransaction/ ApplicableCIIHSupplyChainTradeSettlement/ PayerCITradeParty/ DefinedCITradeContact/ EmailURICIUniversalCommunication/ URIID,JC38_6_JC23,,,,/JC00/JC38_6_JC23/JC38_6_JC23_10
250,ヘッダ部,UN01005762,ASBIE,,,,,,CI_ Trade_ Party. Postal. CI_ Trade_ Address,,,,,,,支払人／住所グループ,支払人の住所に関するグループ。,0..1,,,,,,,,,,
