-,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ
112,0,0,4,0,0,2022-08-31,18,,1,,,538,雑費,,,19800,32,,10,56,,,,,110,城北信当座預金,,,19800,,,,,,,ＰＹＫカーゴ､ﾊﾟｿｺﾝ他処分,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,2022-10-05
113,0,0,4,0,0,2022-09-05,1,,1,,,204,未払金,,,2000000,,,,67,,,,,110,城北信当座預金,,,2000000,,,,,,,鈴木一郎､退職金,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
114,0,0,4,0,0,2022-09-05,2,,1,,,204,未払金,,,2000000,,,,67,,,,,110,城北信当座預金,,,2000000,,,,,,,山田花子､退職金,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
115,0,0,4,0,0,2022-09-05,3,,1,,,208,預り金,,,2268,,,,68,,,,,100,現金,,,2268,,,,,,,麹町税務署､源泉所得税納付,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
116,0,0,3,0,0,2022-09-12,4,,1,,,512,支払手数料,,,264000,32,,10,56,,,,,999,諸口,,,264000,,,,,,,大田コンサル､顧問料･決算料,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
117,0,0,3,0,0,2022-09-12,4,,2,,,999,諸口,,,239496,,,,,,,,,110,城北信当座預金,,,239496,,,,,,,大田コンサル､顧問料･決算料,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
118,0,0,3,0,0,2022-09-12,4,,3,,,999,諸口,,,24504,,,,,,,,,208,預り金,,,24504,,,,4,,,大田コンサル､源泉所得税,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
119,0,0,4,0,0,2022-09-15,5,,1,,,110,城北信当座預金,,,224,,,,,,,,,604,雑収入,,,224,,,,5,,,麹町税務署､所得税還付金,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
120,0,0,4,0,0,2022-09-22,6,,1,,,523,通信費,,,6102,32,,10,56,,,,,100,現金,,,6102,,,,,,,NTTﾌｧｲﾅﾝｽ､電話料金,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,2022-10-26
121,0,0,4,0,0,2022-09-22,7,,1,,,208,預り金,,,24504,,,,68,,,,,100,現金,,,24504,,,,,,,麹町税務署､源泉所得税納付,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
122,0,0,4,0,0,2022-09-30,8,,1,,,529,修繕費,,,4840,32,,10,56,,,,,111,三菱東京UFJ当座預金,,,4840,,,,,,,㈱大塚商会､保守料,,,ISOBE-PC01,PC03,財務会計R4,北信産業 株式会社,2022-11-01
123,0,0,4,0,0,2022-09-01,9,,1,,,522,旅費・交通費,,,900,32,,10,56,,,,,100,現金,,,900,,,,,,,8/29実用興業､ﾀｸｼｰ代,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,2022-10-26
124,0,0,4,0,0,2022-09-09,10,,1,,,522,旅費・交通費,,,900,32,,10,56,,,,,100,現金,,,900,,,,,,,8/29実用興業､ﾀｸｼｰ代,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,2022-10-26
125,0,0,4,0,0,2022-09-09,11,,1,,,522,旅費・交通費,,,900,32,,10,56,,,,,100,現金,,,900,,,,,,,日本交通､ﾀｸｼｰ代,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
126,0,0,4,0,0,2022-09-21,12,,1,,,522,旅費・交通費,,,900,32,,10,56,,,,,100,現金,,,900,,,,,,,東京興業､ﾀｸｼｰ代,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
127,0,0,4,0,0,2022-10-04,1,,1,,,512,支払手数料,,,880,32,,10,56,,,,,100,現金,,,880,,,,,,,城北信金､振込料,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,2022-11-04
128,0,0,4,0,0,2022-10-19,2,,1,,,512,支払手数料,,,880,32,,10,56,,,,,100,現金,,,880,,,,,,,城北信金､振込料,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,2022-11-04
129,0,0,4,0,0,2022-10-04,3,,1,,,529,修繕費,,,74877,32,,10,56,,,,,110,城北信当座預金,,,74877,,,,,,,日本メディアシステム㈱､ＮＴＴ電話機でんえもん工事代,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,2022-11-04
130,0,0,3,0,0,2022-10-12,4,,1,,,512,支払手数料,,,198000,32,,10,56,,,,,999,諸口,,,198000,,,,,,,大田コンサル､会社清算事務分,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
131,0,0,3,0,0,2022-10-12,4,,2,,,999,諸口,,,179622,,,,,,,,,110,城北信当座預金,,,179622,,,,,,,大田コンサル､会社清算事務分,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
132,0,0,3,0,0,2022-10-12,4,,3,,,999,諸口,,,18378,,,,,,,,,208,預り金,,,18378,,,,4,,,大田コンサル､源泉所得税,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
133,0,0,4,0,0,2022-10-17,5,,1,,,100,現金,,,634606,,,,,,,,,111,三菱東京UFJ当座預金,,,634606,,,,,,,三菱UFJ銀行､当座預金解約,,,ISOBE-PC01,PC03,財務会計R4,北信産業 株式会社,2022-11-11
134,0,0,4,0,0,2022-10-19,6,,1,,,538,雑費,,,50000,32,,10,56,,,,,100,現金,,,50000,,,,,,,北海道太郎､残務整理諸経費,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
135,0,0,4,0,0,2022-10-19,7,,1,,,110,城北信当座預金,,,505456,,,,,,,,,100,現金,,,505456,,,,,,,現金預入,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,2022-11-04
136,0,0,4,0,0,2022-10-19,8,,1,,,208,預り金,,,18378,,,,68,,,,,100,現金,,,18378,,,,,,,麹町税務署､源泉所得税納付,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
137,0,0,3,0,0,2022-10-19,9,,1,,,999,諸口,,,56688,,,,,,,,,100,現金,,,56688,,,,,,,ＸＹＺ司法書士､会社清算結了登記手数料,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
138,0,0,3,0,0,2022-10-19,9,,2,,,512,支払手数料,,,57000,32,,10,56,,,,,999,諸口,,,57000,,,,,,,ＸＹＺ司法書士､会社清算結了登記手数料,,,WS017,PC02,財務会計R4,北信産業 株式会社,2023-04-15
139,0,0,3,0,0,2022-10-19,9,,3,,,999,諸口,,,4084,,,,,,,,,208,預り金,,,4084,,,,4,,,ＸＹＺ司法書士､源泉所得税,,,WS017,PC02,財務会計R4,北信産業 株式会社,2023-04-15
140,0,0,3,0,0,2022-10-19,9,,4,,,526,租税公課,,,3772,,,,59,,,,,999,諸口,,,3772,,,,,,,ＸＹＺ司法書士､登記法定費用,,,WS017,PC02,財務会計R4,北信産業 株式会社,2023-04-15
141,0,0,4,0,0,2022-10-19,10,,1,,,512,支払手数料,,,880,32,,10,56,,,,,100,現金,,,880,,,,,,,城北信金､振込料,,,ISOBE-PC01,PC01,財務会計R4,北信産業 株式会社,2022-11-04
142,0,0,4,0,0,2022-10-19,11,,1,,,208,預り金,,,4084,,,,68,,,,,100,現金,,,4084,,,,,,,麹町税務署､源泉所得税納付,,,ISOBE-PC01,PC02,財務会計R4,北信産業 株式会社,2023-04-15
143,0,0,4,0,0,2022-10-27,12,,1,,,100,現金,,,17052250,,,,,,,,,110,城北信当座預金,,,17052250,,,,,,,城北信金､当座預金解約引出,,,ISOBE-PC01,PC03,財務会計R4,北信産業 株式会社,2022-11-11
144,0,0,4,0,0,2022-10-31,13,,1,,,202,借入金,,,432104,,,,84,,,,,100,現金,,,432104,,,,,,,北海道太郎､借入金返済,,,WS017,PC02,財務会計R4,北信産業 株式会社,2023-04-15
145,0,0,4,0,0,2022-10-31,14,,1,,,204,未払金,,,379918,,,,67,,,,,100,現金,,,379918,,,,,,,北海道太郎､過年度光熱費等精算,,,WS017,PC02,財務会計R4,北信産業 株式会社,2023-04-15
146,0,0,3,0,0,2022-10-31,15,,1,,,701,固定資産譲渡収入,,,863641,,,,7,,,,,999,諸口,,,863641,,,,,,,車両･備品売却取引､純額処理振替,,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
147,0,0,3,0,0,2022-10-31,15,,2,,,999,諸口,,,7,,,,,,,,,712,固定資産譲渡費用,,,7,,,,62,,,車両･備品売却取引､純額処理振替,,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
148,0,0,3,0,0,2022-10-31,15,,3,,,999,諸口,,,863634,,,,,,,,,700,固定資産売却益,,,863634,,,,7,,,車両･備品売却取引､純額処理振替,,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
149,0,0,4,0,0,2022-07-31,76,,,,,810,売上高,,,102790,1,,10,1,,,,,999,諸口,,,102790,,,,,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
150,0,0,4,0,0,2022-07-31,76,,,,,999,諸口,,,102790,,,,,,,,,214,仮受消費税,,,102790,1,,10,10,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
151,0,0,4,0,0,2022-07-31,77,,,,,999,諸口,,,2013,,,,,,,,,461,仕入高,,,2013,31,,10,41,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
152,0,0,4,0,0,2022-07-31,77,,,,,174,仮払消費税,,,2013,31,,10,66,,,,,999,諸口,,,2013,,,,,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
153,0,0,4,0,0,2022-07-31,78,,,,,999,諸口,,,1149,,,,,,,,,525,消耗品費,,,1149,31,,10,56,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
154,0,0,4,0,0,2022-07-31,78,,,,,174,仮払消費税,,,1149,31,,10,66,,,,,999,諸口,,,1149,,,,,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
155,0,0,4,0,0,2022-07-31,79,,,,,999,諸口,,,1300,,,,,,,,,528,地代・家賃,,,1300,31,,10,55,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
156,0,0,4,0,0,2022-07-31,79,,,,,174,仮払消費税,,,1300,31,,10,66,,,,,999,諸口,,,1300,,,,,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
157,0,0,4,0,0,2022-07-31,80,,,,,999,諸口,,,10565,,,,,,,,,529,修繕費,,,10565,31,,10,56,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
158,0,0,4,0,0,2022-07-31,80,,,,,174,仮払消費税,,,10565,31,,10,66,,,,,999,諸口,,,10565,,,,,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
159,0,0,4,0,0,2022-07-31,81,,,,,999,諸口,,,1111,,,,,,,,,521,接待交際費,,,1111,31,,K8.0,56,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
160,0,0,4,0,0,2022-07-31,81,,,,,174,仮払消費税,,,1111,31,,K8.0,66,,,,,999,諸口,,,1111,,,,,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
161,0,0,4,0,0,2022-07-31,82,,,,,999,諸口,,,810,,,,,,,,,521,接待交際費,,,810,31,,10,56,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
162,0,0,4,0,0,2022-07-31,82,,,,,174,仮払消費税,,,810,31,,10,66,,,,,999,諸口,,,810,,,,,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
163,0,0,4,0,0,2022-07-31,83,,,,,999,諸口,,,1182,,,,,,,,,522,旅費・交通費,,,1182,31,,10,56,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
164,0,0,4,0,0,2022-07-31,83,,,,,174,仮払消費税,,,1182,31,,10,66,,,,,999,諸口,,,1182,,,,,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
165,0,0,4,0,0,2022-07-31,84,,,,,999,諸口,,,876,,,,,,,,,523,通信費,,,876,31,,10,56,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
166,0,0,4,0,0,2022-07-31,84,,,,,174,仮払消費税,,,876,31,,10,66,,,,,999,諸口,,,876,,,,,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
167,0,0,4,0,0,2022-07-31,85,,,,,999,諸口,,,19607,,,,,,,,,512,支払手数料,,,19607,31,,10,56,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
168,0,0,4,0,0,2022-07-31,85,,,,,174,仮払消費税,,,19607,31,,10,66,,,,,999,諸口,,,19607,,,,,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
169,0,0,4,0,0,2022-07-31,86,,,,,701,固定資産譲渡収入,,,86364,1,,10,7,,,,,999,諸口,,,86364,,,,,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
170,0,0,4,0,0,2022-07-31,86,,,,,999,諸口,,,86364,,,,,,,,,214,仮受消費税,,,86364,1,,10,10,,,[  7月-  7月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
171,0,0,4,0,0,2022-08-31,19,,,,,999,諸口,,,440,,,,,,,,,529,修繕費,,,440,31,,10,56,,,[  8月-  8月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
172,0,0,4,0,0,2022-08-31,19,,,,,174,仮払消費税,,,440,31,,10,66,,,,,999,諸口,,,440,,,,,,,[  8月-  8月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
173,0,0,4,0,0,2022-08-31,20,,,,,999,諸口,,,245,,,,,,,,,522,旅費・交通費,,,245,31,,10,56,,,[  8月-  8月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
174,0,0,4,0,0,2022-08-31,20,,,,,174,仮払消費税,,,245,31,,10,66,,,,,999,諸口,,,245,,,,,,,[  8月-  8月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
175,0,0,4,0,0,2022-08-31,21,,,,,999,諸口,,,1264,,,,,,,,,523,通信費,,,1264,31,,10,56,,,[  8月-  8月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
176,0,0,4,0,0,2022-08-31,21,,,,,174,仮払消費税,,,1264,31,,10,66,,,,,999,諸口,,,1264,,,,,,,[  8月-  8月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
177,0,0,4,0,0,2022-08-31,22,,,,,999,諸口,,,2422,,,,,,,,,512,支払手数料,,,2422,31,,10,56,,,[  8月-  8月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
178,0,0,4,0,0,2022-08-31,22,,,,,174,仮払消費税,,,2422,31,,10,66,,,,,999,諸口,,,2422,,,,,,,[  8月-  8月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
179,0,0,4,0,0,2022-08-31,23,,,,,999,諸口,,,1800,,,,,,,,,538,雑費,,,1800,31,,10,56,,,[  8月-  8月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
180,0,0,4,0,0,2022-08-31,23,,,,,174,仮払消費税,,,1800,31,,10,66,,,,,999,諸口,,,1800,,,,,,,[  8月-  8月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
181,0,0,4,0,0,2022-09-30,14,,,,,999,諸口,,,440,,,,,,,,,529,修繕費,,,440,31,,10,56,,,[  9月-  9月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
182,0,0,4,0,0,2022-09-30,14,,,,,174,仮払消費税,,,440,31,,10,66,,,,,999,諸口,,,440,,,,,,,[  9月-  9月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
183,0,0,4,0,0,2022-09-30,15,,,,,999,諸口,,,327,,,,,,,,,522,旅費・交通費,,,327,31,,10,56,,,[  9月-  9月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
184,0,0,4,0,0,2022-09-30,15,,,,,174,仮払消費税,,,327,31,,10,66,,,,,999,諸口,,,327,,,,,,,[  9月-  9月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
185,0,0,4,0,0,2022-09-30,16,,,,,999,諸口,,,555,,,,,,,,,523,通信費,,,555,31,,10,56,,,[  9月-  9月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
186,0,0,4,0,0,2022-09-30,16,,,,,174,仮払消費税,,,555,31,,10,66,,,,,999,諸口,,,555,,,,,,,[  9月-  9月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
187,0,0,4,0,0,2022-09-30,17,,,,,999,諸口,,,24000,,,,,,,,,512,支払手数料,,,24000,31,,10,56,,,[  9月-  9月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
188,0,0,4,0,0,2022-09-30,17,,,,,174,仮払消費税,,,24000,31,,10,66,,,,,999,諸口,,,24000,,,,,,,[  9月-  9月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
189,0,0,4,0,0,2022-10-31,16,,,,,999,諸口,,,6807,,,,,,,,,529,修繕費,,,6807,31,,10,56,,,[ 10月- 10月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
190,0,0,4,0,0,2022-10-31,16,,,,,174,仮払消費税,,,6807,31,,10,66,,,,,999,諸口,,,6807,,,,,,,[ 10月- 10月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
191,0,0,4,0,0,2022-10-31,17,,,,,999,諸口,,,23422,,,,,,,,,512,支払手数料,,,23422,31,,10,56,,,[ 10月- 10月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
192,0,0,4,0,0,2022-10-31,17,,,,,174,仮払消費税,,,23422,31,,10,66,,,,,999,諸口,,,23422,,,,,,,[ 10月- 10月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
193,0,0,4,0,0,2022-10-31,18,,,,,999,諸口,,,4545,,,,,,,,,538,雑費,,,4545,31,,10,56,,,[ 10月- 10月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
194,0,0,4,0,0,2022-10-31,18,,,,,174,仮払消費税,,,4545,31,,10,66,,,,,999,諸口,,,4545,,,,,,,[ 10月- 10月 一括税抜],,,WS017,PC03,財務会計R4,北信産業 株式会社,2022-11-11
195,0,0,3,0,0,2022-10-31,19,,1,,,214,仮受消費税,,,189154,,,,10,,,,,999,諸口,,,189154,,,,,,,当期消費税精算処理,,,isobe-pc02,PC02,財務会計R4,北信産業 株式会社,2022-11-11
196,0,0,3,0,0,2022-10-31,19,,2,,,999,諸口,,,104880,,,,,,,,,174,仮払消費税,,,104880,,,,66,,,当期消費税精算処理,,,isobe-pc02,PC02,財務会計R4,北信産業 株式会社,2022-11-11
197,0,0,3,0,0,2022-10-31,19,,3,,,999,諸口,,,84100,,,,,,,,,209,未払消費税等,,,84100,,,,67,,,麹町税務署､当期確定消費税等,,,isobe-pc02,PC02,財務会計R4,北信産業 株式会社,2023-04-15
198,0,0,3,0,0,2022-10-31,19,,4,,,999,諸口,,,174,,,,,,,,,604,雑収入,,,174,,,,5,,,消費税端数受入金,,,isobe-pc02,PC02,財務会計R4,北信産業 株式会社,2022-11-11
199,0,0,4,0,0,2022-10-31,20,,1,,,800,法人税等充当額,,,23300,,,,63,,,,,211,法人税等充当金,,,23300,,,,63,,,東京都､当期確定都民税,,,isobe-pc02,PC02,財務会計R4,北信産業 株式会社,2022-11-11
200,0,0,4,0,0,2022-10-31,21,,1,,,713,役員退職金,,,16094166,,,,62,,,,,100,現金,,,16094166,,,,,,,北海道太郎､退職慰労金払い,,,isobe-pc02,PC02,財務会計R4,北信産業 株式会社,2023-04-15
