GL02,GL02-GL55,GL55-GL60d,GL55-GL60c,GL55-GL61,GL02-01,GL64-01,GL64-02,GL64-03,GL64-04,GL57-01,GL57-02,GL55-03,GL55-04,GL69-02,GL56-02,GL63-01d,GL63-02d,GL63-03d,GL56-01d,GL60-01d,GL60-02d,GL60-03d,GL63-01c,GL63-02c,GL63-03c,GL56-01c,GL60-01c,GL60-02c,GL60-03c,GL61-01,GL61-02,GL61-03
0001-20090422-38-131-1-723,,,,,131-723,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090422-38-131-1-723,0,,,,,,,,,,,account,宿泊費,2009-04-22,ISO4217:JPY,724,福利厚生費,WelfareExpense,45871,部門,020,東京,322,未払金,AccountsPayableOther,45871,部門,000,共通部門,,,
0001-20090422-38-131-1-723,1,,,,,,,,,,,account,宿泊費,2009-04-22,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,2293,部門,020,東京,322,未払金,AccountsPayableOther,2293,部門,000,共通部門,,,
0001-20090422-90-132-1-725,,,,,132-725,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090422-90-132-1-725,0,,,,,,,,,,,account,ダスキン代,2009-04-22,ISO4217:JPY,791,雑費,MiscellaneousExpense,10000,部門,030,名古屋,111,現金,CashHand,10000,部門,000,共通部門,,,
0001-20090422-90-132-1-725,1,,,,,,,,,,,account,ダスキン代,2009-04-22,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,500,部門,030,名古屋,111,現金,CashHand,500,部門,000,共通部門,,,
0001-20090422-95-133-1-727,,,,,133-727,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090422-95-133-1-727,0,,,,,,,,,,,account,清掃料,2009-04-22,ISO4217:JPY,791,雑費,MiscellaneousExpense,68262,部門,030,名古屋,322,未払金,AccountsPayableOther,68262,部門,000,共通部門,,,
0001-20090422-95-133-1-727,1,,,,,,,,,,,account,清掃料,2009-04-22,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,3413,部門,030,名古屋,322,未払金,AccountsPayableOther,3413,部門,000,共通部門,,,
0001-20090423-140-146-1-753,,,,,146-753,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090423-140-146-1-753,0,,,,,,,,,,,account,旅費,2009-04-23,ISO4217:JPY,726,旅費交通費,TravelingExpense,9858,部門,040,大阪,111,現金,CashHand,9858,部門,000,共通部門,,,
0001-20090423-140-146-1-753,1,,,,,,,,,,,account,旅費,2009-04-23,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,492,部門,040,大阪,111,現金,CashHand,492,部門,000,共通部門,,,
0001-20090423-141-147-1-755,,,,,147-755,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090423-141-147-1-755,0,,,,,,,,,,,account,JR代,2009-04-23,ISO4217:JPY,726,旅費交通費,TravelingExpense,66191,部門,040,大阪,111,現金,CashHand,66191,部門,000,共通部門,,,
0001-20090423-141-147-1-755,1,,,,,,,,,,,account,JR代,2009-04-23,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,3309,部門,040,大阪,111,現金,CashHand,3309,部門,000,共通部門,,,
0001-20090423-164-148-1-757,,,,,148-757,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090423-164-148-1-757,0,,,,,,,,,,,account,事務用品,2009-04-23,ISO4217:JPY,754,事務用消耗品費,StationeryExpense,1505,部門,050,九州,111,現金,CashHand,1505,部門,000,共通部門,,,
0001-20090423-164-148-1-757,1,,,,,,,,,,,account,事務用品,2009-04-23,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,75,部門,050,九州,111,現金,CashHand,75,部門,000,共通部門,,,
0001-20090423-26-141-1-743,,,,,141-743,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090423-26-141-1-743,0,,,,,,,,,,,account,旅費,2009-04-23,ISO4217:JPY,726,旅費交通費,TravelingExpense,10477,部門,010,札幌,111,現金,CashHand,10477,部門,000,共通部門,,,
0001-20090423-26-141-1-743,1,,,,,,,,,,,account,旅費,2009-04-23,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,523,部門,010,札幌,111,現金,CashHand,523,部門,000,共通部門,,,
0001-20090423-28-142-1-745,,,,,142-745,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090423-28-142-1-745,0,,,,,,,,,,,account,タクシー代,2009-04-23,ISO4217:JPY,726,旅費交通費,TravelingExpense,2305,部門,010,札幌,322,未払金,AccountsPayableOther,2305,部門,000,共通部門,,,
0001-20090423-28-142-1-745,1,,,,,,,,,,,account,タクシー代,2009-04-23,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,115,部門,010,札幌,322,未払金,AccountsPayableOther,115,部門,000,共通部門,,,
0001-20090423-32-143-1-747,,,,,143-747,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090423-32-143-1-747,0,,,,,,,,,,,account,事務用品費,2009-04-23,ISO4217:JPY,754,事務用消耗品費,StationeryExpense,1762,部門,010,札幌,322,未払金,AccountsPayableOther,1762,部門,000,共通部門,,,
0001-20090423-32-143-1-747,1,,,,,,,,,,,account,事務用品費,2009-04-23,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,88,部門,010,札幌,322,未払金,AccountsPayableOther,88,部門,000,共通部門,,,
0001-20090423-54-144-1-749,,,,,144-749,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090423-54-144-1-749,0,,,,,,,,,,,account,高速代,2009-04-23,ISO4217:JPY,740,車両費,VehiclesExpense,1810,部門,020,東京,111,現金,CashHand,1810,部門,000,共通部門,,,
0001-20090423-54-144-1-749,1,,,,,,,,,,,account,高速代,2009-04-23,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,90,部門,020,東京,111,現金,CashHand,90,部門,000,共通部門,,,
0001-20090423-54-144-1-749,3,,,,,,,,,,,account,駐車代,2009-04-23,ISO4217:JPY,740,車両費,VehiclesExpense,810,部門,020,東京,111,現金,CashHand,810,部門,000,共通部門,,,
0001-20090423-54-144-1-749,4,,,,,,,,,,,account,駐車代,2009-04-23,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,40,部門,020,東京,111,現金,CashHand,40,部門,000,共通部門,,,
0001-20090423-86-145-1-751,,,,,145-751,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090423-86-145-1-751,0,,,,,,,,,,,account,切手代,2009-04-23,ISO4217:JPY,727,通信費,CommunicationCost,66667,部門,030,名古屋,111,現金,CashHand,66667,部門,000,共通部門,,,
0001-20090423-86-145-1-751,1,,,,,,,,,,,account,切手代,2009-04-23,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,3333,部門,030,名古屋,111,現金,CashHand,3333,部門,000,共通部門,,,
0001-20090424-108-150-1-761,,,,,150-761,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090424-108-150-1-761,0,,,,,,,,,,,account,コーヒー代,2009-04-24,ISO4217:JPY,733,交際接待費,EntertainmentExpense,1296,部門,040,大阪,111,現金,CashHand,1296,部門,000,共通部門,,,
0001-20090424-108-150-1-761,1,,,,,,,,,,,account,コーヒー代,2009-04-24,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,64,部門,040,大阪,111,現金,CashHand,64,部門,000,共通部門,,,
0001-20090424-159-151-1-763,,,,,151-763,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090424-159-151-1-763,0,,,,,,,,,,,account,タクシー代,2009-04-24,ISO4217:JPY,726,旅費交通費,TravelingExpense,6143,部門,050,九州,111,現金,CashHand,6143,部門,000,共通部門,,,
0001-20090424-159-151-1-763,1,,,,,,,,,,,account,タクシー代,2009-04-24,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,307,部門,050,九州,111,現金,CashHand,307,部門,000,共通部門,,,
0001-20090424-8-149-1-759,,,,,149-759,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090424-8-149-1-759,0,,,,,,,,,,,account,親睦会会費,2009-04-24,ISO4217:JPY,733,交際接待費,EntertainmentExpense,28572,部門,010,札幌,111,現金,CashHand,28572,部門,000,共通部門,,,
0001-20090424-8-149-1-759,1,,,,,,,,,,,account,親睦会会費,2009-04-24,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,1428,部門,010,札幌,111,現金,CashHand,1428,部門,000,共通部門,,,
0001-20090424-8-149-1-759,3,,,,,,,,,,,account,差し入れ,2009-04-24,ISO4217:JPY,733,交際接待費,EntertainmentExpense,3010,部門,010,札幌,111,現金,CashHand,3010,部門,000,共通部門,,,
0001-20090424-8-149-1-759,4,,,,,,,,,,,account,差し入れ,2009-04-24,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,150,部門,010,札幌,111,現金,CashHand,150,部門,000,共通部門,,,
0001-20090425-111-156-1-773,,,,,156-773,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090425-111-156-1-773,0,,,,,,,,,,,account,タクシー代,2009-04-25,ISO4217:JPY,726,旅費交通費,TravelingExpense,11810,部門,040,大阪,322,未払金,AccountsPayableOther,11810,部門,000,共通部門,,,
0001-20090425-111-156-1-773,1,,,,,,,,,,,account,タクシー代,2009-04-25,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,590,部門,040,大阪,322,未払金,AccountsPayableOther,590,部門,000,共通部門,,,
0001-20090425-113-157-1-775,,,,,157-775,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090425-113-157-1-775,0,,,,,,,,,,,account,携帯代,2009-04-25,ISO4217:JPY,727,通信費,CommunicationCost,55745,部門,040,大阪,131,普通預金,OrdinaryDeposit,55745,,,,,,
0001-20090425-113-157-1-775,0,,0,,,,,,,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,
0001-20090425-113-157-1-775,0,,1,,,,,,,,,,,,,,,,,,,,,,,,補助科目,40,三菱東京　梅田,,,
0001-20090425-113-157-1-775,1,,,,,,,,,,,account,携帯代,2009-04-25,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,2787,部門,040,大阪,131,普通預金,OrdinaryDeposit,2787,,,,,,
0001-20090425-113-157-1-775,1,,0,,,,,,,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,
0001-20090425-113-157-1-775,1,,1,,,,,,,,,,,,,,,,,,,,,,,,補助科目,40,三菱東京　梅田,,,
0001-20090425-114-158-1-777,,,,,158-777,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090425-114-158-1-777,0,,,,,,,,,,,account,新聞代,2009-04-25,ISO4217:JPY,739,新聞図書費,PapersSubscriptionLibraryCost,2540,部門,040,大阪,111,現金,CashHand,2540,部門,000,共通部門,,,
0001-20090425-114-158-1-777,1,,,,,,,,,,,account,新聞代,2009-04-25,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,126,部門,040,大阪,111,現金,CashHand,126,部門,000,共通部門,,,
0001-20090425-114-158-1-777,3,,,,,,,,,,,account,新聞代,2009-04-25,ISO4217:JPY,739,新聞図書費,PapersSubscriptionLibraryCost,2864,部門,040,大阪,111,現金,CashHand,2864,部門,000,共通部門,,,
0001-20090425-114-158-1-777,4,,,,,,,,,,,account,新聞代,2009-04-25,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,143,部門,040,大阪,111,現金,CashHand,143,部門,000,共通部門,,,
0001-20090425-121-159-1-779,,,,,159-779,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090425-121-159-1-779,0,,,,,,,,,,,account,お茶代,2009-04-25,ISO4217:JPY,724,福利厚生費,WelfareExpense,9524,部門,040,大阪,111,現金,CashHand,9524,部門,000,共通部門,,,
0001-20090425-121-159-1-779,1,,,,,,,,,,,account,お茶代,2009-04-25,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,476,部門,040,大阪,111,現金,CashHand,476,部門,000,共通部門,,,
0001-20090425-131-160-1-781,,,,,160-781,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090425-131-160-1-781,1,,,,,,,,,,,account,会費,2009-04-25,ISO4217:JPY,742,諸会費,MembershipExpense,24000,部門,040,040,131,普通預金,OrdinaryDeposit,24000,,,,,,
0001-20090425-131-160-1-781,1,,0,,,,,,,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,
0001-20090425-131-160-1-781,1,,1,,,,,,,,,,,,,,,,,,,,,,,,補助科目,40,三菱東京　梅田,,,
0001-20090425-146-161-1-783,,,,,161-783,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090425-146-161-1-783,0,,,,,,,,,,,account,業務委託費,2009-04-25,ISO4217:JPY,728,業務委託費,SalesPromotionExpense,140000,部門,050,九州,322,未払金,AccountsPayableOther,140000,部門,000,共通部門,,,
0001-20090425-146-161-1-783,1,,,,,,,,,,,account,業務委託費,2009-04-25,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,7000,部門,050,九州,322,未払金,AccountsPayableOther,7000,部門,000,共通部門,,,
0001-20090425-170-162-1-785,,,,,162-785,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090425-170-162-1-785,0,,,,,,,,,,,account,新聞代,2009-04-25,ISO4217:JPY,739,新聞図書費,PapersSubscriptionLibraryCost,2864,部門,050,九州,111,現金,CashHand,2864,部門,000,共通部門,,,
0001-20090425-170-162-1-785,1,,,,,,,,,,,account,新聞代,2009-04-25,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,143,部門,050,九州,111,現金,CashHand,143,部門,000,共通部門,,,
0001-20090425-171-163-1-787,,,,,163-787,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090425-171-163-1-787,0,,,,,,,,,,,account,携帯代,2009-04-25,ISO4217:JPY,727,通信費,CommunicationCost,40099,部門,050,九州,131,普通預金,OrdinaryDeposit,40099,,,,,,
0001-20090425-171-163-1-787,0,,0,,,,,,,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,
0001-20090425-171-163-1-787,0,,1,,,,,,,,,,,,,,,,,,,,,,,,補助科目,50,福岡　北九州,,,
0001-20090425-171-163-1-787,1,,,,,,,,,,,account,携帯代,2009-04-25,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,2004,部門,050,九州,131,普通預金,OrdinaryDeposit,2004,,,,,,
0001-20090425-171-163-1-787,1,,0,,,,,,,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,
0001-20090425-171-163-1-787,1,,1,,,,,,,,,,,,,,,,,,,,,,,,補助科目,50,福岡　北九州,,,
0001-20090425-172-164-1-789,,,,,164-789,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090425-172-164-1-789,0,,,,,,,,,,,account,業務委託費支払い,2009-04-25,ISO4217:JPY,728,業務委託費,SalesPromotionExpense,134286,部門,010,札幌,322,未払金,AccountsPayableOther,134286,部門,000,共通部門,,,
0001-20090425-172-164-1-789,1,,,,,,,,,,,account,業務委託費支払い,2009-04-25,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,6714,部門,010,札幌,322,未払金,AccountsPayableOther,6714,部門,000,共通部門,,,
0001-20090425-238-165-1-791,,,,,165-791,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090425-238-165-1-791,0,,,,,,,,,,,account,ゴルフプレー代,2009-04-25,ISO4217:JPY,733,交際接待費,EntertainmentExpense,13524,部門,020,東京,111,現金,CashHand,13524,部門,000,共通部門,,,
0001-20090425-238-165-1-791,1,,,,,,,,,,,account,ゴルフプレー代,2009-04-25,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,676,部門,020,東京,111,現金,CashHand,676,部門,000,共通部門,,,
0001-20090425-253-166-1-793,,,,,166-793,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090425-253-166-1-793,0,,,,,,,,,,,account,4月給与その他 0001 役員,2009-04-25,ISO4217:JPY,711,役員報酬,DirectorsRemuneration,1720000,部門,020,東京,,,,,,,,,,
0001-20090425-253-166-1-793,1,,,,,,,,,,,account,4月給与その他 0001 役員,2009-04-25,ISO4217:JPY,,,,,,,,131,普通預金,OrdinaryDeposit,1131093,,,,,,
0001-20090425-253-166-1-793,2,,,,,,,,,,,account,4月給与その他 0001 役員,2009-04-25,ISO4217:JPY,,,,,,,,326,預り金,DepositsReceivedOther,111192,,,,,,
0001-20090425-253-166-1-793,3,,,,,,,,,,,account,4月給与その他 0001 役員,2009-04-25,ISO4217:JPY,,,,,,,,326,預り金,DepositsReceivedOther,171200,,,,,,
0001-20090425-253-166-1-793,4,,,,,,,,,,,account,4月給与その他 0001 役員,2009-04-25,ISO4217:JPY,,,,,,,,326,預り金,DepositsReceivedOther,166823,,,,,,
0001-20090425-253-166-1-793,5,,,,,,,,,,,account,4月給与その他 0001 役員,2009-04-25,ISO4217:JPY,,,,,,,,326,預り金,DepositsReceivedOther,133972,,,,,,
0001-20090425-253-166-1-793,6,,,,,,,,,,,account,4月給与その他 0001 役員,2009-04-25,ISO4217:JPY,,,,,,,,326,預り金,DepositsReceivedOther,5720,,,,,,
0001-20090425-253-166-1-793,7,,,,,,,,,,,account,4月給与その他 0020 営業部,2009-04-25,ISO4217:JPY,712,給与手当,Payroll,2147245,部門,020,東京,,,,,,,,,,
0001-20090425-253-166-1-793,8,,,,,,,,,,,account,4月給与その他 0020 営業部,2009-04-25,ISO4217:JPY,,,,,,,,131,普通預金,OrdinaryDeposit,1641623,,,,,,
0001-20090425-253-166-1-793,9,,,,,,,,,,,account,4月給与その他 0020 営業部,2009-04-25,ISO4217:JPY,,,,,,,,326,預り金,DepositsReceivedOther,236635,,,,,,
0001-20090425-253-166-1-793,10,,,,,,,,,,,account,4月給与その他 0020 営業部,2009-04-25,ISO4217:JPY,,,,,,,,326,預り金,DepositsReceivedOther,117200,,,,,,
0001-20090425-253-166-1-793,11,,,,,,,,,,,account,4月給与その他 0020 営業部,2009-04-25,ISO4217:JPY,,,,,,,,326,預り金,DepositsReceivedOther,39800,,,,,,
0001-20090425-253-166-1-793,12,,,,,,,,,,,account,4月給与その他 0020 営業部,2009-04-25,ISO4217:JPY,,,,,,,,326,預り金,DepositsReceivedOther,43305,,,,,,
0001-20090425-253-166-1-793,13,,,,,,,,,,,account,4月給与その他 0020 営業部,2009-04-25,ISO4217:JPY,,,,,,,,326,預り金,DepositsReceivedOther,68682,,,,,,
0001-20090425-253-166-1-793,14,,,,,,,,,,,account,4月給与その他 1000 札幌営業所,2009-04-25,ISO4217:JPY,712,給与手当,Payroll,865688,部門,010,札幌,,,,,,,,,,
0001-20090425-253-166-1-793,15,,,,,,,,,,,account,4月給与その他 1000 札幌営業所,2009-04-25,ISO4217:JPY,,,,,,,,131,普通預金,OrdinaryDeposit,625853,,,,,,
0001-20090425-253-166-1-793,16,,,,,,,,,,,account,4月給与その他 1000 札幌営業所,2009-04-25,ISO4217:JPY,,,,,,,,326,預り金,DepositsReceivedOther,100704,,,,,,
0001-20090425-253-166-1-793,17,,,,,,,,,,,account,4月給与その他 1000 札幌営業所,2009-04-25,ISO4217:JPY,,,,,,,,326,預り金,DepositsReceivedOther,46300,,,,,,
0001-20090425-253-166-1-793,18,,,,,,,,,,,account,4月給与その他 1000 札幌営業所,2009-04-25,ISO4217:JPY,,,,,,,,326,預り金,DepositsReceivedOther,13990,,,,,,
0001-20090425-253-166-1-793,19,,,,,,,,,,,account,4月給与その他 1000 札幌営業所,2009-04-25,ISO4217:JPY,,,,,,,,326,預り金,DepositsReceivedOther,50648,,,,,,
0001-20090425-253-166-1-793,20,,,,,,,,,,,account,4月給与その他 1000 札幌営業所,2009-04-25,ISO4217:JPY,,,,,,,,326,預り金,DepositsReceivedOther,28193,,,,,,
0001-20090425-253-166-1-793,21,,,,,,,,,,,account,4月給与その他 3000 名古屋営業所,2009-04-25,ISO4217:JPY,,,,,,,,131,普通預金,OrdinaryDeposit,538572,,,,,,
0001-20090425-253-166-1-793,22,,,,,,,,,,,account,4月給与その他 3000 名古屋営業所,2009-04-25,ISO4217:JPY,712,給与手当,Payroll,763200,部門,030,名古屋,,,,,,,,,,
0001-20090425-253-166-1-793,23,,,,,,,,,,,account,4月給与その他 3000 名古屋営業所,2009-04-25,ISO4217:JPY,,,,,,,,326,預り金,DepositsReceivedOther,92651,,,,,,
0001-20090425-253-166-1-793,24,,,,,,,,,,,account,4月給与その他 3000 名古屋営業所,2009-04-25,ISO4217:JPY,,,,,,,,326,預り金,DepositsReceivedOther,42600,,,,,,
0001-20090425-253-166-1-793,25,,,,,,,,,,,account,4月給与その他 3000 名古屋営業所,2009-04-25,ISO4217:JPY,,,,,,,,326,預り金,DepositsReceivedOther,7540,,,,,,
0001-20090425-253-166-1-793,26,,,,,,,,,,,account,4月給与その他 3000 名古屋営業所,2009-04-25,ISO4217:JPY,,,,,,,,326,預り金,DepositsReceivedOther,40759,,,,,,
0001-20090425-253-166-1-793,27,,,,,,,,,,,account,4月給与その他 3000 名古屋営業所,2009-04-25,ISO4217:JPY,,,,,,,,326,預り金,DepositsReceivedOther,41078,,,,,,
0001-20090425-253-166-1-793,28,,,,,,,,,,,account,4月給与その他 4000 大阪支店,2009-04-25,ISO4217:JPY,712,給与手当,Payroll,1322268,部門,040,大阪,,,,,,,,,,
0001-20090425-253-166-1-793,29,,,,,,,,,,,account,4月給与その他 4000 大阪支店,2009-04-25,ISO4217:JPY,,,,,,,,131,普通預金,OrdinaryDeposit,1034075,,,,,,
0001-20090425-253-166-1-793,30,,,,,,,,,,,account,4月給与その他 4000 大阪支店,2009-04-25,ISO4217:JPY,,,,,,,,326,預り金,DepositsReceivedOther,147384,,,,,,
0001-20090425-253-166-1-793,31,,,,,,,,,,,account,4月給与その他 4000 大阪支店,2009-04-25,ISO4217:JPY,,,,,,,,326,預り金,DepositsReceivedOther,66200,,,,,,
0001-20090425-253-166-1-793,32,,,,,,,,,,,account,4月給与その他 4000 大阪支店,2009-04-25,ISO4217:JPY,,,,,,,,326,預り金,DepositsReceivedOther,24960,,,,,,
0001-20090425-253-166-1-793,33,,,,,,,,,,,account,4月給与その他 4000 大阪支店,2009-04-25,ISO4217:JPY,,,,,,,,326,預り金,DepositsReceivedOther,27117,,,,,,
0001-20090425-253-166-1-793,34,,,,,,,,,,,account,4月給与その他 4000 大阪支店,2009-04-25,ISO4217:JPY,,,,,,,,326,預り金,DepositsReceivedOther,22532,,,,,,
0001-20090425-253-166-1-793,35,,,,,,,,,,,account,4月給与その他 5000 九州営業所,2009-04-25,ISO4217:JPY,712,給与手当,Payroll,603951,部門,050,九州,,,,,,,,,,
0001-20090425-253-166-1-793,36,,,,,,,,,,,account,4月給与その他 5000 九州営業所,2009-04-25,ISO4217:JPY,,,,,,,,131,普通預金,OrdinaryDeposit,455817,,,,,,
0001-20090425-253-166-1-793,37,,,,,,,,,,,account,4月給与その他 5000 九州営業所,2009-04-25,ISO4217:JPY,,,,,,,,326,預り金,DepositsReceivedOther,66241,,,,,,
0001-20090425-253-166-1-793,38,,,,,,,,,,,account,4月給与その他 5000 九州営業所,2009-04-25,ISO4217:JPY,,,,,,,,326,預り金,DepositsReceivedOther,31700,,,,,,
0001-20090425-253-166-1-793,39,,,,,,,,,,,account,4月給与その他 5000 九州営業所,2009-04-25,ISO4217:JPY,,,,,,,,326,預り金,DepositsReceivedOther,8630,,,,,,
0001-20090425-253-166-1-793,40,,,,,,,,,,,account,4月給与その他 5000 九州営業所,2009-04-25,ISO4217:JPY,,,,,,,,326,預り金,DepositsReceivedOther,18540,,,,,,
0001-20090425-253-166-1-793,41,,,,,,,,,,,account,4月給与その他 5000 九州営業所,2009-04-25,ISO4217:JPY,,,,,,,,326,預り金,DepositsReceivedOther,23023,,,,,,
0001-20090425-273-167-1-795,,,,,167-795,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090425-273-167-1-795,1,,,,,,,,,,,account,09年4月25日伝票No201今井百貨店,2009-04-25,ISO4217:JPY,150,受取手形,NotesReceivableGross,20392404,部門,000,000,152,売掛金,AccountsReceivableTradeGross,20392404,部門,000,共通部門,customer,002,今井百貨店
0001-20090425-274-168-1-797,,,,,168-797,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
0001-20090425-274-168-1-797,1,,,,,,,,,,,account,09年4月25日伝票No202株式会社　総合経営,2009-04-25,ISO4217:JPY,131,普通預金,OrdinaryDeposit,2186153,,,,152,売掛金,AccountsReceivableTradeGross,2186153,部門,000,共通部門,customer,007,㈱総合経営
0001-20090425-274-168-1-797,1,0,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,,,,,,,,
0001-20090425-274-168-1-797,1,1,,,,,,,,,,,,,,,,,,補助科目,30,三井　名古屋,,,,,,,,,,
