num,GL,GL詳細,借方勘定科目セグメント,貸方勘定科目セグメント,事業セグメント,仕訳ID,ソースコード,ソース説明,ERPサブレジャーモジュール,システムマニュアル識別子,作成者ユーザーID,作成日,仕訳エントリタイプコード,仕訳エントリ行説明,記帳日,通貨コード,借方勘定科目番号,借方勘定科目名,借方財務諸表キャプション,借方金額,借方勘定科目セグメント番号,借方勘定科目セグメントコード,借方勘定科目セグメント名,貸方勘定科目番号,貸方勘定科目名,貸方財務諸表キャプション,貸方金額,貸方勘定科目セグメント番号,貸方勘定科目セグメントコード,貸方勘定科目セグメント名,事業セグメント順序番号,事業セグメントコード,組織タイプ名
5098,0001-20090715-99-783-1-2027,,,,,783-2027,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
5100,0001-20090715-99-783-1-2027,0,0,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,,,,,,,,
5101,0001-20090715-99-783-1-2027,0,1,,,,,,,,,,,,,,,,,,補助科目,40,三菱東京　梅田,,,,,,,,,,
5102,0001-20090715-99-783-1-2027,1,,,,,,,,,,,account,09年7月15日伝票No261高橋物産株式会社,2009-07-15,ISO4217:JPY,131,普通預金,OrdinaryDeposit,782779,,,,152,売掛金,AccountsReceivableTradeGross,782779,部門,000,共通部門,customer,009,高橋物産㈱
5103,0001-20090715-99-783-1-2027,2,,,,,,,,,,,account,09年7月15日伝票No261高橋物産株式会社,2009-07-15,ISO4217:JPY,741,支払手数料,CommissionExpense,800,部門,040,大阪,152,売掛金,AccountsReceivableTradeGross,800,部門,000,共通部門,customer,009,高橋物産㈱
5104,0001-20090715-99-783-1-2027,3,,,,,,,,,,,account,09年7月15日伝票No261高橋物産株式会社,2009-07-15,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,40,部門,040,大阪,152,売掛金,AccountsReceivableTradeGross,40,部門,000,共通部門,customer,009,高橋物産㈱
5106,0001-20090716-105-793-1-2047,,,,,793-2047,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
5107,0001-20090716-105-793-1-2047,0,,,,,,,,,,,account,飲食代　ダイニング彩4名,2009-07-16,ISO4217:JPY,733,交際接待費,EntertainmentExpense,17461,部門,040,大阪,111,現金,CashHand,17461,部門,000,共通部門,,,
5108,0001-20090716-105-793-1-2047,1,,,,,,,,,,,account,飲食代　ダイニング彩4名,2009-07-16,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,873,部門,040,大阪,111,現金,CashHand,873,部門,000,共通部門,,,
5110,0001-20090716-105-793-1-2047,3,,,,,,,,,,,account,飲食代　スナック箱船4名,2009-07-16,ISO4217:JPY,733,交際接待費,EntertainmentExpense,31305,部門,040,大阪,111,現金,CashHand,31305,部門,000,共通部門,,,
5111,0001-20090716-105-793-1-2047,4,,,,,,,,,,,account,飲食代　スナック箱船4名,2009-07-16,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,1565,部門,040,大阪,111,現金,CashHand,1565,部門,000,共通部門,,,
5112,0001-20090716-11-790-1-2041,,,,,790-2041,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
5113,0001-20090716-11-790-1-2041,0,,,,,,,,,,,account,ガソリン代,2009-07-16,ISO4217:JPY,740,車両費,VehiclesExpense,3058,部門,010,札幌,111,現金,CashHand,3058,部門,000,共通部門,,,
5114,0001-20090716-11-790-1-2041,1,,,,,,,,,,,account,ガソリン代,2009-07-16,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,152,部門,010,札幌,111,現金,CashHand,152,部門,000,共通部門,,,
5116,0001-20090716-136-794-1-2049,,,,,794-2049,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
5117,0001-20090716-136-794-1-2049,0,,,,,,,,,,,account,ダスキン代,2009-07-16,ISO4217:JPY,791,雑費,MiscellaneousExpense,15715,部門,040,大阪,111,現金,CashHand,15715,部門,000,共通部門,,,
5118,0001-20090716-136-794-1-2049,1,,,,,,,,,,,account,ダスキン代,2009-07-16,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,785,部門,040,大阪,111,現金,CashHand,785,部門,000,共通部門,,,
5120,0001-20090716-161-795-1-2051,,,,,795-2051,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
5121,0001-20090716-161-795-1-2051,0,,,,,,,,,,,account,旅費,2009-07-16,ISO4217:JPY,726,旅費交通費,TravelingExpense,3334,部門,050,九州,111,現金,CashHand,3334,部門,000,共通部門,,,
5122,0001-20090716-161-795-1-2051,1,,,,,,,,,,,account,旅費,2009-07-16,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,166,部門,050,九州,111,現金,CashHand,166,部門,000,共通部門,,,
5124,0001-20090716-52-791-1-2043,,,,,791-2043,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
5125,0001-20090716-52-791-1-2043,0,,,,,,,,,,,account,高速代,2009-07-16,ISO4217:JPY,740,車両費,VehiclesExpense,3381,部門,020,東京,111,現金,CashHand,3381,部門,000,共通部門,,,
5126,0001-20090716-52-791-1-2043,1,,,,,,,,,,,account,高速代,2009-07-16,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,169,部門,020,東京,111,現金,CashHand,169,部門,000,共通部門,,,
5128,0001-20090716-52-791-1-2043,3,,,,,,,,,,,account,ガソリン代,2009-07-16,ISO4217:JPY,740,車両費,VehiclesExpense,71429,部門,020,東京,111,現金,CashHand,71429,部門,000,共通部門,,,
5129,0001-20090716-52-791-1-2043,4,,,,,,,,,,,account,ガソリン代,2009-07-16,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,3571,部門,020,東京,111,現金,CashHand,3571,部門,000,共通部門,,,
5130,0001-20090716-61-792-1-2045,,,,,792-2045,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
5131,0001-20090716-61-792-1-2045,0,,,,,,,,,,,account,電話代,2009-07-16,ISO4217:JPY,727,通信費,CommunicationCost,128169,部門,020,東京,131,普通預金,OrdinaryDeposit,128169,,,,,,
5132,0001-20090716-61-792-1-2045,1,,,,,,,,,,,account,電話代,2009-07-16,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,6408,部門,020,東京,131,普通預金,OrdinaryDeposit,6408,,,,,,
5134,0001-20090716-61-792-1-2045,2,,0,,,,,,,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,
5135,0001-20090716-61-792-1-2045,2,,1,,,,,,,,,,,,,,,,,,,,,,,,補助科目,20,みずほ　本店,,,
5136,0001-20090717-12-797-1-2055,,,,,797-2055,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
5137,0001-20090717-12-797-1-2055,0,,,,,,,,,,,account,駐車代,2009-07-17,ISO4217:JPY,740,車両費,VehiclesExpense,762,部門,010,札幌,111,現金,CashHand,762,部門,000,共通部門,,,
5138,0001-20090717-12-797-1-2055,1,,,,,,,,,,,account,駐車代,2009-07-17,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,38,部門,010,札幌,111,現金,CashHand,38,部門,000,共通部門,,,
5140,0001-20090717-12-797-1-2055,3,,,,,,,,,,,account,ガソリン代,2009-07-17,ISO4217:JPY,740,車両費,VehiclesExpense,4456,部門,010,札幌,111,現金,CashHand,4456,部門,000,共通部門,,,
5141,0001-20090717-12-797-1-2055,4,,,,,,,,,,,account,ガソリン代,2009-07-17,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,222,部門,010,札幌,111,現金,CashHand,222,部門,000,共通部門,,,
5143,0001-20090717-12-797-1-2055,6,,,,,,,,,,,account,ガソリン代,2009-07-17,ISO4217:JPY,740,車両費,VehiclesExpense,4015,部門,010,札幌,111,現金,CashHand,4015,部門,000,共通部門,,,
5144,0001-20090717-12-797-1-2055,7,,,,,,,,,,,account,ガソリン代,2009-07-17,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,200,部門,010,札幌,111,現金,CashHand,200,部門,000,共通部門,,,
5145,0001-20090717-4-796-1-2053,,,,,796-2053,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
5146,0001-20090717-4-796-1-2053,0,,,,,,,,,,,account,広告費,2009-07-17,ISO4217:JPY,732,広告宣伝費,AdvertisingExpense,30000,部門,010,札幌,322,未払金,AccountsPayableOther,30000,部門,000,共通部門,,,
5147,0001-20090717-4-796-1-2053,1,,,,,,,,,,,account,広告費,2009-07-17,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,1500,部門,010,札幌,322,未払金,AccountsPayableOther,1500,部門,000,共通部門,,,
5149,0001-20090718-123-800-1-2061,,,,,800-2061,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
5150,0001-20090718-123-800-1-2061,0,,,,,,,,,,,account,切手代,2009-07-18,ISO4217:JPY,727,通信費,CommunicationCost,15239,部門,040,大阪,111,現金,CashHand,15239,部門,000,共通部門,,,
5151,0001-20090718-123-800-1-2061,1,,,,,,,,,,,account,切手代,2009-07-18,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,761,部門,040,大阪,111,現金,CashHand,761,部門,000,共通部門,,,
5153,0001-20090718-139-801-1-2063,,,,,801-2063,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
5154,0001-20090718-139-801-1-2063,0,,,,,,,,,,,account,社員夜食代,2009-07-18,ISO4217:JPY,724,福利厚生費,WelfareExpense,42877,部門,040,大阪,322,未払金,AccountsPayableOther,42877,部門,000,共通部門,,,
5155,0001-20090718-139-801-1-2063,1,,,,,,,,,,,account,社員夜食代,2009-07-18,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,2143,部門,040,大阪,322,未払金,AccountsPayableOther,2143,部門,000,共通部門,,,
5157,0001-20090718-148-802-1-2065,,,,,802-2065,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
5158,0001-20090718-148-802-1-2065,0,,,,,,,,,,,account,ガソリン代,2009-07-18,ISO4217:JPY,740,車両費,VehiclesExpense,4486,部門,050,九州,111,現金,CashHand,4486,部門,000,共通部門,,,
5159,0001-20090718-148-802-1-2065,1,,,,,,,,,,,account,ガソリン代,2009-07-18,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,224,部門,050,九州,111,現金,CashHand,224,部門,000,共通部門,,,
5161,0001-20090718-148-802-1-2065,3,,,,,,,,,,,account,ウォッシャー液他,2009-07-18,ISO4217:JPY,740,車両費,VehiclesExpense,1600,部門,050,九州,111,現金,CashHand,1600,部門,000,共通部門,,,
5162,0001-20090718-148-802-1-2065,4,,,,,,,,,,,account,ウォッシャー液他,2009-07-18,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,80,部門,050,九州,111,現金,CashHand,80,部門,000,共通部門,,,
5163,0001-20090718-59-798-1-2057,,,,,798-2057,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
5164,0001-20090718-59-798-1-2057,0,,,,,,,,,,,account,旅費,2009-07-18,ISO4217:JPY,726,旅費交通費,TravelingExpense,42858,部門,020,東京,111,現金,CashHand,42858,部門,000,共通部門,,,
5165,0001-20090718-59-798-1-2057,1,,,,,,,,,,,account,旅費,2009-07-18,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,2142,部門,020,東京,111,現金,CashHand,2142,部門,000,共通部門,,,
5167,0001-20090718-82-799-1-2059,,,,,799-2059,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
5168,0001-20090718-82-799-1-2059,0,,,,,,,,,,,account,旅費,2009-07-18,ISO4217:JPY,726,旅費交通費,TravelingExpense,9334,部門,030,名古屋,111,現金,CashHand,9334,部門,000,共通部門,,,
5169,0001-20090718-82-799-1-2059,1,,,,,,,,,,,account,旅費,2009-07-18,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,466,部門,030,名古屋,111,現金,CashHand,466,部門,000,共通部門,,,
5171,0001-20090719-160-805-1-2071,,,,,805-2071,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
5172,0001-20090719-160-805-1-2071,0,,,,,,,,,,,account,出張旅費,2009-07-19,ISO4217:JPY,726,旅費交通費,TravelingExpense,82572,部門,020,東京,111,現金,CashHand,82572,部門,000,共通部門,,,
5173,0001-20090719-160-805-1-2071,1,,,,,,,,,,,account,出張旅費,2009-07-19,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,4128,部門,020,東京,111,現金,CashHand,4128,部門,000,共通部門,,,
5175,0001-20090719-47-804-1-2069,,,,,804-2069,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
5176,0001-20090719-47-804-1-2069,0,,,,,,,,,,,account,ガソリン代,2009-07-19,ISO4217:JPY,740,車両費,VehiclesExpense,8134,部門,020,東京,111,現金,CashHand,8134,部門,000,共通部門,,,
5177,0001-20090719-47-804-1-2069,1,,,,,,,,,,,account,ガソリン代,2009-07-19,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,406,部門,020,東京,111,現金,CashHand,406,部門,000,共通部門,,,
5179,0001-20090719-8-803-1-2067,,,,,803-2067,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
5180,0001-20090719-8-803-1-2067,0,,,,,,,,,,,account,定例ミーティング会費,2009-07-19,ISO4217:JPY,733,交際接待費,EntertainmentExpense,19048,部門,010,札幌,111,現金,CashHand,19048,部門,000,共通部門,,,
5181,0001-20090719-8-803-1-2067,1,,,,,,,,,,,account,定例ミーティング会費,2009-07-19,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,952,部門,010,札幌,111,現金,CashHand,952,部門,000,共通部門,,,
5183,0001-20090719-8-803-1-2067,3,,,,,,,,,,,account,景品,2009-07-19,ISO4217:JPY,733,交際接待費,EntertainmentExpense,3010,部門,010,札幌,111,現金,CashHand,3010,部門,000,共通部門,,,
5184,0001-20090719-8-803-1-2067,4,,,,,,,,,,,account,景品,2009-07-19,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,150,部門,010,札幌,111,現金,CashHand,150,部門,000,共通部門,,,
5185,0001-20090720-101-817-1-2095,,,,,817-2095,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
5186,0001-20090720-101-817-1-2095,0,,,,,,,,,,,account,広告料,2009-07-20,ISO4217:JPY,732,広告宣伝費,AdvertisingExpense,50000,部門,040,大阪,322,未払金,AccountsPayableOther,50000,部門,000,共通部門,,,
5187,0001-20090720-101-817-1-2095,1,,,,,,,,,,,account,広告料,2009-07-20,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,2500,部門,040,大阪,322,未払金,AccountsPayableOther,2500,部門,000,共通部門,,,
5189,0001-20090720-103-818-1-2097,,,,,818-2097,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
5191,0001-20090720-103-818-1-2097,1,,,,,,,,,,,account,09年7月20日伝票No264株式会社　斉藤,2009-07-20,ISO4217:JPY,111,現金,CashHand,633459,部門,000,共通部門,152,売掛金,AccountsReceivableTradeGross,633459,部門,000,共通部門,customer,011,㈱斉藤
5192,0001-20090720-104-819-1-2099,,,,,819-2099,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
5194,0001-20090720-104-819-1-2099,0,0,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,,,,,,,,
5195,0001-20090720-104-819-1-2099,0,1,,,,,,,,,,,,,,,,,,補助科目,30,三井　名古屋,,,,,,,,,,
5196,0001-20090720-104-819-1-2099,1,,,,,,,,,,,account,09年7月20日伝票No265合同会社　たかだ,2009-07-20,ISO4217:JPY,131,普通預金,OrdinaryDeposit,840514,,,,152,売掛金,AccountsReceivableTradeGross,840514,部門,000,共通部門,customer,021,(同)たかだ
5197,0001-20090720-104-819-1-2099,2,,,,,,,,,,,account,09年7月20日伝票No265合同会社　たかだ,2009-07-20,ISO4217:JPY,741,支払手数料,CommissionExpense,600,部門,030,名古屋,152,売掛金,AccountsReceivableTradeGross,600,部門,000,共通部門,customer,021,(同)たかだ
5198,0001-20090720-104-819-1-2099,3,,,,,,,,,,,account,09年7月20日伝票No265合同会社　たかだ,2009-07-20,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,30,部門,030,名古屋,152,売掛金,AccountsReceivableTradeGross,30,部門,000,共通部門,customer,021,(同)たかだ
5200,0001-20090720-105-820-1-2101,,,,,820-2101,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
5202,0001-20090720-105-820-1-2101,0,0,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,,,,,,,,
5203,0001-20090720-105-820-1-2101,0,1,,,,,,,,,,,,,,,,,,補助科目,20,みずほ　本店,,,,,,,,,,
5204,0001-20090720-105-820-1-2101,1,,,,,,,,,,,account,09年7月20日伝票No266株式会社　ＹＡＧ,2009-07-20,ISO4217:JPY,131,普通預金,OrdinaryDeposit,1270608,,,,152,売掛金,AccountsReceivableTradeGross,1270608,部門,000,共通部門,customer,030,㈱YAG
5205,0001-20090720-105-820-1-2101,2,,,,,,,,,,,account,09年7月20日伝票No266株式会社　ＹＡＧ,2009-07-20,ISO4217:JPY,741,支払手数料,CommissionExpense,700,部門,020,東京,152,売掛金,AccountsReceivableTradeGross,700,部門,000,共通部門,customer,030,㈱YAG
5206,0001-20090720-105-820-1-2101,3,,,,,,,,,,,account,09年7月20日伝票No266株式会社　ＹＡＧ,2009-07-20,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,35,部門,020,東京,152,売掛金,AccountsReceivableTradeGross,35,部門,000,共通部門,customer,030,㈱YAG
5208,0001-20090720-106-821-1-2103,,,,,821-2103,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
5210,0001-20090720-106-821-1-2103,1,,,,,,,,,,,account,09年7月20日伝票No173株式会社　アタッチ,2009-07-20,ISO4217:JPY,312,買掛金,NotesPayableCustomerTradeAccountsPayable,888656,部門,000,共通部門,131,普通預金,OrdinaryDeposit,888656,,,,vendor,004,㈱ｱﾀｯﾁ
5211,0001-20090720-106-821-1-2103,1,,0,,,,,,,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,
5212,0001-20090720-106-821-1-2103,1,,1,,,,,,,,,,,,,,,,,,,,,,,,補助科目,20,みずほ　本店,,,
5213,0001-20090720-107-822-1-2105,,,,,822-2105,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
5215,0001-20090720-107-822-1-2105,1,,,,,,,,,,,account,09年7月20日伝票No174株式会社　ハナダ,2009-07-20,ISO4217:JPY,312,買掛金,NotesPayableCustomerTradeAccountsPayable,3530262,部門,000,共通部門,131,普通預金,OrdinaryDeposit,3530262,,,,vendor,006,㈱ﾊﾅﾀﾞ
5216,0001-20090720-107-822-1-2105,1,,0,,,,,,,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,
5217,0001-20090720-107-822-1-2105,1,,1,,,,,,,,,,,,,,,,,,,,,,,,補助科目,20,みずほ　本店,,,
5218,0001-20090720-108-823-1-2107,,,,,823-2107,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
5220,0001-20090720-108-823-1-2107,1,,,,,,,,,,,account,09年7月20日伝票No175株式会社　まつむら,2009-07-20,ISO4217:JPY,312,買掛金,NotesPayableCustomerTradeAccountsPayable,4255056,部門,000,共通部門,131,普通預金,OrdinaryDeposit,4255056,,,,vendor,011,㈱まつむら
5221,0001-20090720-108-823-1-2107,1,,0,,,,,,,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,
5222,0001-20090720-108-823-1-2107,1,,1,,,,,,,,,,,,,,,,,,,,,,,,補助科目,20,みずほ　本店,,,
5223,0001-20090720-118-824-1-2109,,,,,824-2109,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
5224,0001-20090720-118-824-1-2109,0,,,,,,,,,,,account,コピー代,2009-07-20,ISO4217:JPY,754,事務用消耗品費,StationeryExpense,6880,部門,040,大阪,322,未払金,AccountsPayableOther,6880,部門,000,共通部門,,,
5225,0001-20090720-118-824-1-2109,1,,,,,,,,,,,account,コピー代,2009-07-20,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,343,部門,040,大阪,322,未払金,AccountsPayableOther,343,部門,000,共通部門,,,
5227,0001-20090720-119-825-1-2111,,,,,825-2111,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
5228,0001-20090720-119-825-1-2111,0,,,,,,,,,,,account,事務用品,2009-07-20,ISO4217:JPY,754,事務用消耗品費,StationeryExpense,1410,部門,040,大阪,322,未払金,AccountsPayableOther,1410,部門,000,共通部門,,,
5229,0001-20090720-119-825-1-2111,1,,,,,,,,,,,account,事務用品,2009-07-20,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,70,部門,040,大阪,322,未払金,AccountsPayableOther,70,部門,000,共通部門,,,
5231,0001-20090720-137-826-1-2113,,,,,826-2113,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
5232,0001-20090720-137-826-1-2113,0,,,,,,,,,,,account,手形割引　もみじデパート,2009-07-20,ISO4217:JPY,121,当座預金,CheckingAccounts,8459513,,,,150,受取手形,NotesReceivableGross,8459513,部門,000,共通部門,,,
5233,0001-20090720-137-826-1-2113,0,0,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,,,,,,,,
5234,0001-20090720-137-826-1-2113,0,1,,,,,,,,,,,,,,,,,,補助科目,001,みずほ銀行,,,,,,,,,,
5236,0001-20090720-137-826-1-2113,2,,,,,,,,,,,account,手形割引料,2009-07-20,ISO4217:JPY,821,支払利息,InterestExpense,63842,部門,020,東京,150,受取手形,NotesReceivableGross,63842,部門,000,共通部門,,,
5237,0001-20090720-139-827-1-2115,,,,,827-2115,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
5239,0001-20090720-139-827-1-2115,1,,,,,,,,,,,account,手形期日落日　まつむら,2009-07-20,ISO4217:JPY,301,支払手形,NotesPayableCustomerTradeAccountsPayable,6181724,部門,000,共通部門,121,当座預金,CheckingAccounts,6181724,,,,,,
5240,0001-20090720-139-827-1-2115,1,,0,,,,,,,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,
5241,0001-20090720-139-827-1-2115,1,,1,,,,,,,,,,,,,,,,,,,,,,,,補助科目,001,みずほ銀行,,,
5242,0001-20090720-139-827-1-2115,2,,,,,,,,,,,account,手形割引　かめだデパート,2009-07-20,ISO4217:JPY,121,当座預金,CheckingAccounts,6918775,,,,150,受取手形,NotesReceivableGross,6918775,部門,000,共通部門,,,
5243,0001-20090720-139-827-1-2115,2,0,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,,,,,,,,
5244,0001-20090720-139-827-1-2115,2,1,,,,,,,,,,,,,,,,,,補助科目,001,みずほ銀行,,,,,,,,,,
5246,0001-20090720-139-827-1-2115,4,,,,,,,,,,,account,手形割引料,2009-07-20,ISO4217:JPY,821,支払利息,InterestExpense,52282,部門,020,東京,150,受取手形,NotesReceivableGross,52282,部門,000,共通部門,,,
5247,0001-20090720-142-828-1-2117,,,,,828-2117,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
5249,0001-20090720-142-828-1-2117,0,0,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,,,,,,,,
5250,0001-20090720-142-828-1-2117,0,1,,,,,,,,,,,,,,,,,,補助科目,20,みずほ　本店,,,,,,,,,,
5251,0001-20090720-142-828-1-2117,1,,,,,,,,,,,account,資金移動,2009-07-20,ISO4217:JPY,131,普通預金,OrdinaryDeposit,19000000,,,,121,当座預金,CheckingAccounts,19000000,,,,,,
5252,0001-20090720-142-828-1-2117,1,,0,,,,,,,,,,,,,,,,,,,,,,,,部門,000,共通部門,,,
5253,0001-20090720-142-828-1-2117,1,,1,,,,,,,,,,,,,,,,,,,,,,,,補助科目,001,みずほ銀行,,,
5254,0001-20090720-144-829-1-2119,,,,,829-2119,gj,PCA会計９V.2-仕訳ﾃﾞｰﾀの受入,General Journal,manual entry,pca,2008-08-19,,,,,,,,,,,,,,,,,,,,,
5255,0001-20090720-144-829-1-2119,0,,,,,,,,,,,account,ガソリン代,2009-07-20,ISO4217:JPY,740,車両費,VehiclesExpense,4324,部門,040,大阪,111,現金,CashHand,4324,部門,000,共通部門,,,
5256,0001-20090720-144-829-1-2119,1,,,,,,,,,,,account,ガソリン代,2009-07-20,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,216,部門,040,大阪,111,現金,CashHand,216,部門,000,共通部門,,,
5258,0001-20090720-144-829-1-2119,3,,,,,,,,,,,account,高速代,2009-07-20,ISO4217:JPY,740,車両費,VehiclesExpense,3408,部門,040,大阪,111,現金,CashHand,3408,部門,000,共通部門,,,
5259,0001-20090720-144-829-1-2119,4,,,,,,,,,,,account,高速代,2009-07-20,ISO4217:JPY,191,仮払消費税等,SuspenseAccountPaymentConsumptionTaxes,170,部門,040,大阪,111,現金,CashHand,170,部門,000,共通部門,,,
