ID,Card,Level,Term,Description,項目名,説明,Semantic Datatype,UBL Sort,UBL Xpath,ID,Card,Level,,Semantic Datatype,説明,共通EDI,消費税必須,突合キー,自動振り分け,CII Sort,CII XPath,,
ibg-06,0..1,2,SELLER CONTACT,A group of business terms providing contact information about the Seller.,売り手連絡先,売り手の連絡先に係る情報を提供するビジネス用語のグループ。,,1820,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact,BG-6,0..1,2,売り手の連絡先,,連絡先に係る情報,〇,,,,2040,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:DefinedTradeContact,,
,,,,,,,,,,,1..1,3,受注部門コード,Code,受注者の受注部門を表すコード,〇,,,,,,,
ibt-041,0..1,3,Seller contact point,A contact point for a legal entity or person.,売り手連絡先,売り手の連絡先の個人の、文字で表現された名前（部門名を含む）。,Text,1830,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:Name,BT-41,1..1,3,売り手担当名,Text,取引連絡先の個人の、文字で表現された名前,〇,,,,2050,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:DefinedTradeContact/ram:PersonName,,
,,,,,,,,,,,1..1,3,売り手部門名,Text,受注者の受注部門の名称,〇,,,,,,,
ibt-042,0..1,3,Seller contact telephone number,A phone number for the contact point.,売り手連絡先電話番号,売り手の連絡先電話番号。,Text,1840,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:Telephone,BT-42,1..1,3,売り手電話番号,Text,受注者の電話番号,〇,,,,2080,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:DefinedTradeContact/ram:TelephoneUniversalCommunication/ram:CompleteNumber,,
ibt-043,0..1,3,Seller contact email address,An e-mail address for the contact point.,売り手連絡先電子メールアドレス,売り手の連絡先電子メールアドレス。,Text,1850,/ubl:Invoice/cac:AccountingSupplierParty/cac:Party/cac:Contact/cbc:ElectronicMail,BT-43,1..1,3,売り手の電子メールアドレス。,Text,受注者の電子メールアドレス,〇,,,✔,2100,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTradeParty/ram:DefinedTradeContact/ram:EmailURIUniversalCommunication/ram:URIID,,
ibg-07,1..1,1,BUYER,A group of business terms providing information about the Buyer.,買い手,買い手に係る情報を提供するビジネス用語のグループ。,,1860,/ubl:Invoice/cac:AccountingCustomerParty,BG-7,1..1,1,買い手,,発注者に係る情報,〇,,,,2250,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty,,
ibt-044,1..1,2,Buyer name,The full name of the Buyer.,買い手名称,買い手の名称。,Text,2110,/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:RegistrationName,BT-44,1..1,2,買い手名称,Text,発注を行う企業/工場・事業所・事業部門等の名称,◎,◎,,,2290,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:Name,,
ibt-045,0..1,2,Buyer trading name,"A name by which the Buyer is known, other than Buyer name (also known as Business name).",買い手商号,買い手名称以外で、知られているビジネス上の名称。,Text,1940,/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyName/cbc:Name,BT-45,,,買い手の商号,,,,,,,2330,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:SpecifiedLegalOrganization/ram:TradingBusinessName,,
ibt-046,0..1,2,Buyer identifier,An identifier of the Buyer. The identification scheme identifier of the Buyer identifier.,買い手ID,買い手を表すID。,Identifier,1910,/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification/cbc:ID,BT-46,1..1,2,買い手コード,Identifier,注文を行う企業/工場・事業所・事業部門等を表すコード,◎,,,,2260,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:ID,,
ibt-046-1,0..1,3,Buyer identifier Scheme identifier,"If used	 the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency.",スキーマID,使用する場合、識別スキーマは、ISO/IEC6523保守機関として公開されているリストから選択しなければならない。,Code,1920,/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyIdentification/cbc:ID/@schemeID,BT-46-1,,,,,,,,,,,,,
ibt-047,0..1,2,Buyer legal registration identifier,An identifier issued by an official registrar that identifies the Buyer as a legal entity or person. The identification scheme identifier of the Buyer legal registration identifier.,買い手法人ID,買い手を表す法人ID。,Identifier,2120,/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID,BT-47,0..1,2,買い手国際企業コード,Identifier,注文を行う企業を表す国際企業コード中小企業共通EDIでは法人番号を利用,〇,,,,2310,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:SpecifiedLegalOrganization/ram:ID,,
ibt-047-1,0..1,3,Buyer legal registration identifier Scheme identifier,"If used	 the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency.",スキーマID,使用する場合、識別スキーマは、ISO/IEC6523保守機関として公開されているリストから選択しなければならない。,Code,2130,/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyLegalEntity/cbc:CompanyID/@schemeID,BT-47-1,,,,,,,,,,,,,
ibt-048,0..1,2,Buyer TAX identifier,The Buyer's VAT identifier (also known as Buyer VAT identification number).,買い手税ID,買い手の税ID番号。日本の場合は、適格請求書発行事業者登録番号。,Identifier,2060,/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID,BT-48,,,発注担当消費税識別子,Identifier,,,,,,2530,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:SpecifiedTaxRegistration/ram:ID[@schemeID='VA'],,
ibt-049,1..1,2,Buyer electronic address,Identifies the Buyer's electronic address to which the invoice is delivered. The identification scheme identifier of the Buyer electronic address.,買い手電子アドレス,請求書の送信先となる買い手の電子アドレスを識別する。,Identifier,1880,/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cbc:EndpointID,BT-49,0..1,2,買い手の電子アドレス ,Identifier,請求書の搬送先となる購買担当の電子所在地を識別,,,,✔,2500,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:URIUniversalCommunication/ram:URIID,,
ibt-049-1,1..1,3,Buyer electronic address Scheme identifier,The scheme identifier shall be chosen from a list to be maintained by the Connecting Europe Facility.,スキーマID,スキーマIDは、Connecting Europe Facility (CEF) が管理するリストから選択しなければならない。,Code,1890,/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cbc:EndpointID/@schemeID,BT-49-1,,,,,,,,,,,,,
ibt-048,0..1,2,Buyer TAX identifier,The Buyer’s TAX identifier (also known as Buyer TAX identification number).,買い手税ID,買い手の税ID番号。日本の場合は、適格請求書発行事業者登録番号。,Identifier,2060,/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:PartyTaxScheme/cbc:CompanyID,BT-48,1..1,2,買い手の適格請求書発行事業者登録番号,Identifier,発注者の適格請求書発行事業者登録番号,〇,◎,,,,,,
ibg-08,1..1,2,BUYER POSTAL ADDRESS,A group of business terms providing information about the postal address for the Buyer.,買い手住所,買い手の住所に関する情報を提供するビジネス用語のグループ。,,1950,/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress,BG-8,0..1,2,買い手の住所,,発注者の住所に関する情報,〇,,,,2410,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress,,
ibt-050,0..1,3,Buyer address line 1,The main address line in an address.,買い手住所欄1,買い手の住所の主な記載欄。,Text,1960,/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:StreetName,BT-50,1..1,3,買い手住所欄1,Text,発注者の住所,〇,,,,2430,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:LineOne,,
ibt-051,0..1,3,Buyer address line 2,An additional address line in an address that can be used to give further details supplementing the main line.,買い手住所欄2,買い手の住所の主な記載内容に加えて詳細な情報のために使用する追加記載欄。,Text,1970,/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:AdditionalStreetName,BT-51,,,買い手住所欄2,Text,,,,,,2440,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:LineTwo,,
ibt-163,0..1,3,Buyer address line 3,An additional address line in an address that can be used to give further details supplementing the main line.,買い手住所欄3,買い手の住所の上記の記載内容に加えてより詳細な情報のために使用する追加記載欄。,Text,2020,/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:AddressLine/cbc:Line,BT-163,,,買い手住所欄3,Text,,,,,,2450,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:LineThree,,
ibt-052,0..1,3,Buyer city,"The common name of the city, town or village, where the Buyer's address is located.",買い手住所 市区町村,買い手が所在する市、町、村の通称。,Text,1980,/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:CityName,BT-52,,,買い手市,Text,,,,,,2460,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:CityName,,
ibt-053,0..1,3,Buyer post code,The identifier for an addressable group of properties according to the relevant postal service.,買い手郵便番号,買い手の住所の郵便番号。,Text,1990,/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:PostalZone,BT-53,1..1,3,買い手郵便番号,Text,発注者の郵便番号,〇,,,,2420,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:PostcodeCode,,
ibt-054,0..1,3,Buyer country subdivision,The subdivision of a country.,買い手住所 都道府県,買い手の住所の地方区分。,Text,2000,/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cbc:CountrySubentity,BT-54,,,買い手の地方区分,Text,,,,,,2480,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:CountrySubDivisionName,,
ibt-055,1..1,3,Buyer country code,A code that identifies the country.,買い手国コード,買い手の住所の国コード。,Code,2040,/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:PostalAddress/cac:Country/cbc:IdentificationCode,BT-55,0..1,3,買い手国コード,Code,,,,,,2470,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:PostalTradeAddress/ram:CountryID,,
ibg-09,0..1,2,BUYER CONTACT,A group of business terms providing contact information relevant for the Buyer.,買い手連絡先,買い手の連絡先に係る情報を提供するビジネス用語のグループ。,,2140,/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact,BG-9,0..1,2,買い手の連絡先,,連絡先に係る情報,〇,,,,2340,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:DefinedTradeContact,,
,,,,,,,,,,,1..1,3,買い手部門コード,Code,発注者の発注部門を表すコード,〇,,,,,,,
,,,,,,,,,,,1..1,3,買い手部門名,Text,発注者の発注部門の名称,〇,,,,,,,
ibt-056,0..1,3,Buyer contact point,A contact point for a legal entity or person.,買い手連絡先,買い手の法人や個人の連絡先。,Text,2150,/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Name,BT-56,1..1,3,買い手担当名,Text,発注者の発注担当者の名称,〇,,,,2350,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:DefinedTradeContact/ram:PersonName,,
ibt-057,0..1,3,Buyer contact telephone number,A phone number for the contact point.,買い手連絡先電話番号,買い手の連絡先電話番号。,Text,2160,/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:Telephone,BT-57,1..1,3,買い手電話番号,Text,発注者の電話番号,〇,,,,2380,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:DefinedTradeContact/ram:TelephoneUniversalCommunication/ram:CompleteNumber,,
ibt-058,0..1,3,Buyer contact email address,An e-mail address for the contact point.,買い手連絡先電子メールアドレス,買い手の連絡先電子メールアドレス。,Text,2170,/ubl:Invoice/cac:AccountingCustomerParty/cac:Party/cac:Contact/cbc:ElectronicMail,BT-58,1..1,3,買い手の電子メールアドレス,Text,発注者の電子メールアドレス,〇,,,✔,2400,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerTradeParty/ram:DefinedTradeContact/ram:EmailURIUniversalCommunication/ram:URIID,,
ibg-10,0..1,1,PAYEE,"A group of business terms providing information about the Payee, i.e. the role that receives the payment.",支払先,支払先に係る情報を提供するビジネス用語のグループ。,,2180,/ubl:Invoice/cac:PayeeParty,BG-10,0..1,1,支払先,,支払先に係る情報,〇,,,,3130,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:PayeeTradeParty,,
ibt-059,1..1,2,Payee name,The name of the Payee.,支払先名称,支払先の名称。,Text,2230,/ubl:Invoice/cac:PayeeParty/cac:PartyName/cbc:Name,BT-59,1..1,2,支払先名称,Text,支払先の企業等を表す名称,〇,,,,3170,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:PayeeTradeParty/ram:Name,,
ibt-060,0..1,2,Payee identifier,An identifier for the Payee. The identification scheme identifier of the Payee identifier.,支払先ID,支払先のID。,Identifier,2200,/ubl:Invoice/cac:PayeeParty/cac:PartyIdentification/cbc:ID,BT-60,1..1,2,支払先コード,Identifier,支払先のコード,〇,,,,3140,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:PayeeTradeParty/ram:ID,,
ibt-060-1,0..1,2,Payee identifier Scheme identifier,,,,Code,2210,/ubl:Invoice/cac:PayeeParty/cac:PartyIdentification/cbc:ID/@schemeID,BT-60-1,,,,,,,,,,,,,
ibt-061,0..1,2,Payee legal registration identifier,An identifier issued by an official registrar that identifies the Payee as a legal entity or person. The identification scheme identifier of the Payee legal registration identifier.,支払先登録企業ID,公的登録機関が発行した公的識別子としての支払先の国際企業ID。,Identifier,2250,/ubl:Invoice/cac:PayeeParty/cac:PartyLegalEntity/cbc:CompanyID,BT-61,0..1,2,支払先国際企業コード,Identifier,支払先の国際企業コード中小企業共通EDIでは法人番号を利用,〇,,,,3190,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:PayeeTradeParty/ram:SpecifiedLegalOrganization/ram:ID,,
ibt-061-1,0..1,3,Payee legal registration identifier Scheme identifier,"If used	 the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency.",スキーマID,使用する場合、公的機登録機関の識別スキーマは、ISO/IEC6523保守機関として公開されているリストから選択しなければならない。,Code,2260,/ubl:Invoice/cac:PayeeParty/cac:PartyLegalEntity/cbc:CompanyID/@schemeID,BT-61-1,,,,,,,,,,,,,
,,,,,,,,,,,0..1,2,支払先の連絡先,,支払先に係る情報,〇,,,,,,,
,,,,,,,,,,,1..1,3,支払先部門コード,Code,支払先の支払先部門を表すコード,〇,,,,,,,
,,,,,,,,,,,1..1,3,支払先担当名,Text,支払先個人の、文字で表現された名前,〇,,,,,,,
,,,,,,,,,,,1..1,3,支払先部門名,Text,支払先の請求部門の名称,〇,,,,,,,
,,,,,,,,,,,1..1,3,支払先電話番号,Text,支払先の電話番号,〇,,,,,,,
,,,,,,,,,,,0..1,1,請求先,,請求先に係る情報,〇,,,,,,,
,,,,,,,,,,,1..1,2,請求先コード,Code,請求を受ける企業等を表すコード,〇,,,,,,,
,,,,,,,,,,,0..1,2,請求先国際企業コード,Code,請求を受ける企業等を表す法人コード中小企業共通EDIは法人番号を利用,〇,,,,,,,
,,,,,,,,,,,1..1,2,請求先名称,Text,請求を受ける企業等の名称,〇,,,,,,,
,,,,,,,,,,,0..1,2,請求先の連絡先,,連絡先に係る情報,〇,,,,,,,
,,,,,,,,,,,1..1,3,請求先部門コード,Code,請求先の部門を表すコード,〇,,,,,,,
,,,,,,,,,,,1..1,3,請求先担当名,Text,請求先の担当者の名称,〇,,,,,,,
,,,,,,,,,,,1..1,3,請求先部門名,Text,請求先の部門を表す名称,〇,,,,,,,
,,,,,,,,,,,1..1,3,請求先電話番号,Text,請求先の電話番号,〇,,,,,,,
ibg-11,0..1,1,SELLER TAX REPRESENTATIVE PARTY,A group of business terms providing information about the Seller's tax representative.,売り手税務代理人,売り手の税務代理人に係る情報を提供するビジネス用語のグループ。,,2270,/ubl:Invoice/cac:TaxRepresentativeParty,BG-11,1..1,1,請求者,,請求者に係る情報,〇,,,,2550,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty,,
,,,,,,,,,,,0..1,2,請求者コード,Code,請求者のコード,〇,,,,,,,
,,,,,,,,,,,0..1,2,請求者国際企業コード,Code,請求者の国際企業コード中小企業共通EDIでは法人番号を利用,〇,,,,,,,
ibt-062,1..1,2,Seller tax representative name,The full name of the Seller's tax representative party.,売り手税務代理人名称,売り手の税務代理人の名称。,Text,2290,/ubl:Invoice/cac:TaxRepresentativeParty/cac:PartyName/cbc:Name,BT-62,1..1,2,請求者名称,Text,請求者の企業等を表す名称,〇,◎,,,2560,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:Name,,
ibt-063,1..1,2,Seller tax representative TAX identifier,The VAT identifier of the Seller's tax representative party.,売り手税務代理人税ID,売り手の税務代理人の税ID。,Identifier,2410,/ubl:Invoice/cac:TaxRepresentativeParty/cac:PartyTaxScheme/cbc:CompanyID,BT-63,1..1,2,請求者の適格請求書発行事業者登録番号,Identifier,登録された請求者の適格請求書発行事業者登録番号,〇,◎,,,2660,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:SpecifiedTaxRegistration/ram:ID[@schemeID='VA'],,
,,,,,,,,,,,0..1,2,請求者の連絡先,,連絡者に係る情報,〇,,,,,,,
,,,,,,,,,,,1..1,3,請求者部門コード,Code,請求者の請求部門を表すコード,〇,,,,,,,
,,,,,,,,,,,1..1,3,請求者担当名,Text,請求者個人の、文字で表現された名前,〇,,,,,,,
,,,,,,,,,,,1..1,3,請求者部門名,Code,請求者の請求部門の名称,〇,,,,,,,
,,,,,,,,,,,1..1,3,請求者電話番号,Code,請求者の電話番号,〇,,,,,,,
ibg-12,1..1,2,SELLER TAX REPRESENTATIVE POSTAL ADDRESS,A group of business terms providing information about the postal address for the tax representative party.,売り手税務代理人住所,税務代理人の住所に関する情報を提供するビジネス用語のグループ。,,2300,/ubl:Invoice/cac:TaxRepresentativeParty/cac:PostalAddress,BG-12,,,請求者の住所,,,,,,,2570,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress,,
ibt-064,0..1,3,Tax representative address line 1,The main address line in an address.,税務代理人住所欄1,税務代理人の住所の主な記載欄。,Text,2310,/ubl:Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:StreetName,BT-64,,,請求者住所欄1,Text,,,,,,2590,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:LineOne,,
ibt-065,0..1,3,Tax representative address line 2,An additional address line in an address that can be used to give further details supplementing the main line.,税務代理人住所欄2,税務代理人の住所の主な記載内容に加えて詳細な情報のために使用する追加記載欄。,Text,2320,/ubl:Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:AdditionalStreetName,BT-65,,,請求者住所欄2,Text,,,,,,2600,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:LineTwo,,
ibt-164,0..1,3,Tax representative address line 3,An additional address line in an address that can be used to give further details supplementing the main line.,税務代理人住所欄3,税務代理人の住所の上記の記載内容に加えてより詳細な情報のために使用する追加記載欄。,Text,2370,/ubl:Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cac:AddressLine/cbc:Line,BT-164,,,請求者住所欄3,Text,,,,,,2610,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:LineThree,,
ibt-066,0..1,3,Tax representative city,"The common name of the city, town or village, where the tax representative address is located.",税務代理人住所 市区町村,税務代理人が所在する市、町、村の通称。,Text,2330,/ubl:Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:CityName,BT-66,,,請求者市,Text,,,,,,2620,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:CityName,,
ibt-067,0..1,3,Tax representative post code,The identifier for an addressable group of properties according to the relevant postal service.,税務代理人郵便番号,税務代理人の住所の郵便番号。,Text,2340,/ubl:Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:PostalZone,BT-67,,,請求者郵便番号,Text,,,,,,2580,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:PostcodeCode,,
ibt-068,0..1,3,Tax representative country subdivision,The subdivision of a country. ,税務代理人住所 都道府県,税務代理人の住所の地方区分。,Text,2350,/ubl:Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cbc:CountrySubentity,BT-68,,,請求者の地方区分,Text,,,,,,2640,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:CountrySubDivisionName,,
ibt-069,1..1,3,Tax representative country code,A code that identifies the country.,税務代理人国コード,税務代理人の住所の国コード。,Code,2390,/ubl:Invoice/cac:TaxRepresentativeParty/cac:PostalAddress/cac:Country/cbc:IdentificationCode,BT-69,,,請求者国コード,Code,,,,,,2630,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalTradeAddress/ram:CountryID,,
ibg-13,0..1,1,DELIVERY INFORMATION,A group of business terms providing information about where and when the goods and services invoiced are delivered.,納入先,財又はサービスが何時何処に納入されたかに係る情報を提供するビジネス用語のグループ。,,2440,/ubl:Invoice/cac:Delivery,BG-13,0..1,1,納入先,,納入先に係る情報,〇,,,,2870,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty,,
ibt-070,0..1,2,Deliver to party name,The name of the party to which the goods and services are delivered.,納入先名称,財又はサービスが納入された納入先の名称。,Text,2610,/ubl:Invoice/cac:Delivery/cac:DeliveryParty/cac:PartyName/cbc:Name,BT-70,1..1,2,納入先名称,Text,納入先の企業/工場・事業所・事業部門等の名称,〇,,,,2910,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:Name,,
ibt-071,0..1,2,Deliver to location identifier,An identifier for the location at which the goods and services are delivered. The identification scheme identifier of the Deliver to location identifier.,納入先ID,財又はサービスが納入された納入先の場所ID。,Identifier,2470,/ubl:Invoice/cac:Delivery/cac:DeliveryLocation/cbc:ID,BT-71,1..1,2,納入先コード,Identifier,納入先の企業/工場・事業所・事業部門等を表す発注者が付与したコード,〇,,,,2880,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ShipToTradeParty/ram:ID,,
ibt-071-1,0..1,2,Deliver to location identifier Scheme identifier,"The identification scheme identifier of the Deliver to location identifier. If used	 the identification scheme shall be chosen from the entries of the list published by the ISO/IEC 6523 maintenance agency.",スキーマID,納入された住所IDを発行した組織の識別スキーマID。使用する場合、識別スキーマは、ISO/IEC 6523 の保守機関によって公開されたリストから選択しなければならない。,Code,2480,/ubl:Invoice/cac:Delivery/cac:DeliveryLocation/cbc:ID/@schemeID,BT-71-1,,,,,,,,,,,,,
ibt-072,0..1,2,Actual delivery date,the date on which the supply of goods or services was made or completed.,実際納入日,財又はサービスが納入された、あるいはすべて提供された日付。,Date,2450,/ubl:Invoice/cac:Delivery/cbc:ActualDeliveryDate,BT-72,0..1,2,実際の納入日,Date,実際の納入日,,,,,3020,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeDelivery/ram:ActualDeliverySupplyChainEvent/ram:OccurrenceDateTime/udt:DateTimeString[@format='102'],,
,,,,,,,,,,,0..1,2,納入先国際企業コード,Code,納入先企業を表す国際企業コード中小企業共通EDIでは法人番号を利用,〇,,,,,,,
ibg-14,0..1,2,INVOICING PERIOD,A group of business terms providing information on the invoice period.,請求期間,請求期間に関わる情報を提供するビジネス用語のグループ。,,1140,/ubl:Invoice/cac:InvoicePeriod,BG-14,0..1,2,請求期間,,請求期間に関わる情報,〇,,,,3490,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:BillingSpecifiedPeriod,,
ibt-073,0..1,3,Invoicing period start date,The date when the Invoice period starts.,請求期間開始日,請求期間開始日。,Date,1150,/ubl:Invoice/cac:InvoicePeriod/cbc:StartDate,BT-73,1..1,3,請求開始日,Date,この請求書の請求開始日,◎,,,,3510,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:BillingSpecifiedPeriod/ram:StartDateTime/udt:DateTimeString[@format='102'],,
