num,group,UN _CCL_ID,kind,den1,den2,den3,den4,den5,den6,den7,den8,den9,den10,den11,den12,den,name,name_ja,desc_ja,occurs,ver,identifier
105,ヘッダ部,UN01005726,ASBIE,,,,,,,,CI_ Trade_ Contact. Telephone. CI_ Universal_ Communication,,,,,CI_ Trade_ Contact. Telephone. CI_ Universal_ Communication,ram:TelephoneCIUniversalCommunication,連絡先／電話情報グループ,連絡先の電話に関するグループ。,0..1,v4, 
106,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,CI_ Universal_ Communication. Details,ram:CIUniversalCommunicationType,電話通信クラス,通信（電話）に関する情報からなるクラス。,－,v4, 
107,ヘッダ部,UN01005860,BBIE,,,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,CI_ Universal_ Communication. Complete Number. Text,ram:CompleteNumber,発注者電話番号,発注者の電話番号。,0..1,v4, 
108,ヘッダ部,UN01005729,ASBIE,,,,,,,,CI_ Trade_ Contact. Fax. CI_ Universal_ Communication,,,,,CI_ Trade_ Contact. Fax. CI_ Universal_ Communication,ram:FaxCIUniversalCommunication,連絡先／FAX情報グループ,連絡先のFAXに関するグループ。,0..1,v4,　
109,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,CI_ Universal_ Communication. Details,ram:CIUniversalCommunicationType,FAX通信クラス,通信（FAX）に関する情報からなるクラス。,－,v4,　
110,ヘッダ部,UN01005860,BBIE,,,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,CI_ Universal_ Communication. Complete Number. Text,ram:CompleteNumber,発注者FAX番号,発注者のFAX番号,0..1,v4,　
111,ヘッダ部,UN01005730,ASBIE,,,,,,,,CI_ Trade_ Contact. Email_ URI. CI_ Universal_ Communication,,,,,CI_ Trade_ Contact. Email_ URI. CI_ Universal_ Communication,ram:EmailURICIUniversalCommunication,連絡先／電子メール情報グループ,連絡先の電子メールに関するグループ。,0..1,v4, 
112,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,CI_ Universal_ Communication. Details,ram:CIUniversalCommunicationType,電子メール通信クラス,通信（電子メール）に関する情報からなるクラス。,－,v4, 
113,ヘッダ部,UN01005858,BBIE,,,,,,,,,,CI_ Universal_ Communication. URI. Identifier,,,CI_ Universal_ Communication. URI. Identifier,ram:URIID,発注者メールアドレス,発注者の電子メールアドレス。,0..1,v4, 
114,ヘッダ部,UN01005762,ASBIE,,,,,,CI_ Trade_ Party. Postal. CI_ Trade_ Address,,,,,,,CI_ Trade_ Party. Postal. CI_ Trade_ Address,ram:PostalCITradeAddress,発注者／住所グループ,発注者の住所に関するグループ。,0..1,v4, 
115,ヘッダ部,UN01005687,ABIE,,,,,,,CI_ Trade_ Address. Details,,,,,,CI_ Trade_ Address. Details,ram:CITradeAddressType,発注者住所クラス,発注者住所に関する情報からなるクラス。,－,v4, 
116,ヘッダ部,UN01005689,BBIE,,,,,,,,CI_ Trade_ Address. Postcode. Code,,,,,CI_ Trade_ Address. Postcode. Code,ram:PostcodeCode,発注者郵便番号,発注者の郵便番号。,0..1,v4, 
117,ヘッダ部,UN01005692,BBIE,,,,,,,,CI_ Trade_ Address. Line One. Text,,,,,CI_ Trade_ Address. Line One. Text,ram:LineOne,発注者住所1,発注者の住所1行目。,0..1,v4,"言語コード
ISO639"
118,ヘッダ部,UN01005693,BBIE,,,,,,,,CI_ Trade_ Address. Line Two. Text,,,,,CI_ Trade_ Address. Line Two. Text,ram:LineTwo,発注者住所2,発注者の住所2行目。,0..1,v4,"言語コード
ISO639"
119,ヘッダ部,UN01005694,BBIE,,,,,,,,CI_ Trade_ Address. Line Three. Text,,,,,CI_ Trade_ Address. Line Three. Text,ram:LineThree,発注者住所3,発注者の住所3行目。,0..1,v4,"言語コード
ISO639"
120,ヘッダ部,UN01005700,BBIE,,,,,,,,CI_ Trade_ Address. Country. Identifier,,,,,CI_ Trade_ Address. Country. Identifier,ram:CountryID,発注者国識別子,発注者の国ID。デフォルトは「JP」,1..1,v4,ISO3166
121,ヘッダ部,UN01005765,ASBIE,,,,,,CI_ Trade_ Party. End Point_ URI. CI_ Universal_ Communication,,,,,,,CI_ Trade_ Party. End Point_ URI. CI_ Universal_ Communication,ram:EndPointURICIUniversalCommunication,送信者／国際EDIアドレスグループ,送信者の国際EDIアドレスグループ,1..1,,
122,ヘッダ部,UN01005857,ABIE,,,,,,,CI_ Universal_ Communication. Details,,,,,,CI_ Universal_ Communication. Details,ram:CIUniversalCommunicationType,国際EDIアドレスクラス,国際EDIアドレスクラス,－,v4,
123,ヘッダ部,UN01005859,BBIE,,,,,,,,CI_ Universal_ Communication. Channel. Code,,,,,CI_ Universal_ Communication. Channel. Code,ram:ChannelCode,国際EDIアドレス登録機関コード,国際EDIアドレス登録機関のコード,1..1,v4,ISO6523
124,ヘッダ部,UN01005860,BBIE,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,,,CI_ Universal_ Communication. Complete Number. Text,ram:CompleteNumber,国際EDIアドレス,国際EDIアドレス番号,1..1,v4,
125,ヘッダ部,UN01011516,ASBIE,,,,CIIH_ Supply Chain_ Trade Agreement. Specified. Procuring_ Project,,,,,,,,,CIIH_ Supply Chain_ Trade Agreement. Specified. Procuring_ Project,ram:SpecifiedProcuringProject,インボイス文書契約／プロジェクト調達グループ,プロジェクト調達に関するグループ,0..1,v4, 
126,ヘッダ部,UN01000371,ABIE,,,,,Procuring_ Project. Details,,,,,,,,Procuring_ Project. Details,ram:ProcuringProjectType,プロジェクト調達クラス,プロジェクト調達に関する情報のクラス,－,v4, 
127,ヘッダ部,UN01000372,BBIE,,,,,,Procuring_ Project. Identification. Identifier,,,,,,,Procuring_ Project. Identification. Identifier,ram:ID,プロジェクト番号,発注品に関するプロジェクト・工事案件等を管理するための番号。,0..1,v4, 
128,ヘッダ部,UN01000374,BBIE,,,,,,Procuring_ Project. Name. Text,,,,,,,Procuring_ Project. Name. Text,ram:Name,プロジェクト名,発注品に関するプロジェクト・工事案件等の名称。,0..1,v4,"言語コード
ISO639"
129,ヘッダ部,UN01005939,ASBIE,,CIIH_ Supply Chain_ Trade Transaction. Applicable. CIIH_ Supply Chain_ Trade Settlement,,,,,,,,,,,CIIH_ Supply Chain_ Trade Transaction. Applicable. CIIH_ Supply Chain_ Trade Settlement,ram:ApplicableCIIHSupplyChainTradeSettlement,インボイス文書取引内容／決済グループ,決済に関するグループ,1..1,v4, 
130,ヘッダ部,UN01005909,ABIE,,,CIIH_ Supply Chain_ Trade Settlement. Details,,,,,,,,,,CIIH_ Supply Chain_ Trade Settlement. Details,ram:CIIHSupplyChainTradeSettlementType,インボイス文書決済クラス,インボイス文書の決済に関する情報からなるクラス。,－,v4, 
131,ヘッダ部,UN01005913,BBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Tax_ Currency. Code,,,,,,,,,CIIH_ Supply Chain_ Trade Settlement. Tax_ Currency. Code,ram:TaxCurrencyCode,税通貨コード,税の通貨コード。デフォルトはJPY,1..1,v4,"通貨コード
ISO4217"
132,ヘッダ部,UN01005914,BBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Invoice_ Currency. Code,,,,,,,,,CIIH_ Supply Chain_ Trade Settlement. Invoice_ Currency. Code,ram:InvoiceCurrencyCode,文書通貨コード,文書の通貨コード。デフォルトはJPY,1..1,v4,"通貨コード
ISO4217"
133,ヘッダ部,UN01005915,BBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Payment_ Currency. Code,,,,,,,,,CIIH_ Supply Chain_ Trade Settlement. Payment_ Currency. Code,ram:PaymentCurrencyCode,支払通貨コード,請求支払通貨コード（デフォルトはJPY）,0..1,v4,"通貨コード
ISO4217"
134,ヘッダ部,UN01005916,ASBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Invoicer. CI_ Trade_ Party,,,,,,,,,CIIH_ Supply Chain_ Trade Settlement. Invoicer. CI_ Trade_ Party,ram:InvoicerCITradeParty,インボイス文書決済／請求者グループ,請求者にかかわる情報,0..1,v4, 
135,ヘッダ部,UN01005756,ABIE,,,,,CI_ Trade_ Party. Details,,,,,,,,CI_ Trade_ Party. Details,ram:CITradePartyType,請求者クラス,請求者に関する情報からなるクラス。,－,v4, 
136,ヘッダ部,UN01005757,BBIE,,,,,,CI_ Trade_ Party. Identification. Identifier,,,,,,,CI_ Trade_ Party. Identification. Identifier,ram:ID,請求者コード,請求者のコード。,0..1,v4, 
137,ヘッダ部,UN01005758,BBIE,,,,,,CI_ Trade_ Party. Global_ Identification. Identifier,,,,,,,CI_ Trade_ Party. Global_ Identification. Identifier,ram:GlobalID,請求者国際企業コード,請求者の国際企業コード。中小企業共通EDIでは法人番号を利用,0..1,v4,コード表識別子
138,ヘッダ部,UN01005759,BBIE,,,,,,CI_ Trade_ Party. Name. Text,,,,,,,CI_ Trade_ Party. Name. Text,ram:Name,請求者名称,請求者の企業等を表す名称。,0..1,v4,"言語コード
ISO639"
139,ヘッダ部,UN01013039,BBIE,,,,,,CI_ Trade_ Party. Registered_ Identification. Identifier,,,,,,,CI_ Trade_ Party. Registered_ Identification. Identifier,ram:RegisteredID,請求者適格請求書発行事業者登録番号,登録された請求者の適格請求書発行事業者登録番号,0..1,v4,コード表識別子
140,ヘッダ部,UN01005761,ASBIE,,,,,,CI_ Trade_ Party. Defined. CI_ Trade_ Contact,,,,,,,CI_ Trade_ Party. Defined. CI_ Trade_ Contact,ram:DefinedCITradeContact,請求者／連絡先グループ,請求者の連絡先に関する情報,0..1,v4, 
141,ヘッダ部,UN01005718,ABIE,,,,,,,CI_ Trade_ Contact. Details,,,,,,CI_ Trade_ Contact. Details,ram:CITradeContactType,請求者連絡先クラス,連絡先に関する情報からなるクラス。,－,v4, 
142,ヘッダ部,UN01005719,BBIE,,,,,,,,CI_ Trade_ Contact. Identification. Identifier,,,,,CI_ Trade_ Contact. Identification. Identifier,ram:ID,請求部門コード,請求者の請求部門を表すコード。,0..1,v4, 
143,ヘッダ部,UN01005720,BBIE,,,,,,,,CI_ Trade_ Contact. Person Name. Text,,,,,CI_ Trade_ Contact. Person Name. Text,ram:PersonName,請求者担当名,請求者個人の、文字で表現された名前。,0..1,v4,"言語コード
ISO639"
144,ヘッダ部,UN01005721,BBIE,,,,,,,,CI_ Trade_ Contact. Department Name. Text,,,,,CI_ Trade_ Contact. Department Name. Text,ram:DepartmentName,請求者部門名,請求者の請求部門の名称。,0..1,v4,"言語コード
ISO639"
145,ヘッダ部,UN01005725,BBIE,,,,,,,,CI_ Trade_ Contact. Person_ Identification. Identifier,,,,,CI_ Trade_ Contact. Person_ Identification. Identifier,ram:PersonID,請求者担当コード,請求者個人を表すコード,0..1,v4, 
146,ヘッダ部,UN01005726,ASBIE,,,,,,,,CI_ Trade_ Contact. Telephone. CI_ Universal_ Communication,,,,,CI_ Trade_ Contact. Telephone. CI_ Universal_ Communication,ram:TelephoneCIUniversalCommunication,連絡先／電話情報グループ,連絡先の電話に関するグループ。,0..1,v4, 
147,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,CI_ Universal_ Communication. Details,ram:CIUniversalCommunicationType,電話通信クラス,通信（電話）に関する情報からなるクラス。,－,v4, 
148,ヘッダ部,UN01005860,BBIE,,,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,CI_ Universal_ Communication. Complete Number. Text,ram:CompleteNumber,請求者電話番号,請求者の電話番号。,0..1,v4, 
149,ヘッダ部,UN01005729,ASBIE,,,,,,,,CI_ Trade_ Contact. Fax. CI_ Universal_ Communication,,,,,CI_ Trade_ Contact. Fax. CI_ Universal_ Communication,ram:FaxCIUniversalCommunication,連絡先／FAX情報グループ,連絡先のFAXに関するグループ。,0..1,v4,　
150,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,CI_ Universal_ Communication. Details,ram:CIUniversalCommunicationType,FAX通信クラス,通信（FAX）に関する情報からなるクラス。,－,v4,　
151,ヘッダ部,UN01005860,BBIE,,,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,CI_ Universal_ Communication. Complete Number. Text,ram:CompleteNumber,請求者FAX番号,請求者のFAX番号,0..1,v4,　
152,ヘッダ部,UN01005730,ASBIE,,,,,,,,CI_ Trade_ Contact. Email_ URI. CI_ Universal_ Communication,,,,,CI_ Trade_ Contact. Email_ URI. CI_ Universal_ Communication,ram:EmailURICIUniversalCommunication,連絡先／電子メール情報グループ,連絡先の電子メールに関するグループ。,0..1,v4, 
153,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,CI_ Universal_ Communication. Details,ram:CIUniversalCommunicationType,電子メール通信クラス,通信（電子メール）に関する情報からなるクラス。,－,v4, 
154,ヘッダ部,UN01005858,BBIE,,,,,,,,,,CI_ Universal_ Communication. URI. Identifier,,,CI_ Universal_ Communication. URI. Identifier,ram:URIID,請求者メールアドレス,請求者の電子メールアドレス。,0..1,v4, 
155,ヘッダ部,UN01005762,ASBIE,,,,,,CI_ Trade_ Party. Postal. CI_ Trade_ Address,,,,,,,CI_ Trade_ Party. Postal. CI_ Trade_ Address,ram:PostalCITradeAddress,請求者／住所グループ,請求者の住所に関するグループ。,0..1,v4, 
156,ヘッダ部,UN01005687,ABIE,,,,,,,CI_ Trade_ Address. Details,,,,,,CI_ Trade_ Address. Details,ram:CITradeAddressType,請求者住所クラス,請求者住所に関する情報からなるクラス。,－,v4, 
157,ヘッダ部,UN01005689,BBIE,,,,,,,,CI_ Trade_ Address. Postcode. Code,,,,,CI_ Trade_ Address. Postcode. Code,ram:PostcodeCode,請求者郵便番号,請求者の郵便番号。,0..1,v4, 
158,ヘッダ部,UN01005692,BBIE,,,,,,,,CI_ Trade_ Address. Line One. Text,,,,,CI_ Trade_ Address. Line One. Text,ram:LineOne,請求者住所1,請求者の住所1行目。,0..1,v4,"言語コード
ISO639"
159,ヘッダ部,UN01005693,BBIE,,,,,,,,CI_ Trade_ Address. Line Two. Text,,,,,CI_ Trade_ Address. Line Two. Text,ram:LineTwo,請求者住所2,請求者の住所2行目。,0..1,v4,"言語コード
ISO639"
160,ヘッダ部,UN01005694,BBIE,,,,,,,,CI_ Trade_ Address. Line Three. Text,,,,,CI_ Trade_ Address. Line Three. Text,ram:LineThree,請求者住所3,請求者の住所3行目。,0..1,v4,"言語コード
ISO639"
161,ヘッダ部,UN01005700,BBIE,,,,,,,,CI_ Trade_ Address. Country. Identifier,,,,,CI_ Trade_ Address. Country. Identifier,ram:CountryID,請求者国識別子,請求者の国ID。デフォルトは「JP」,1..1,v4,ISO3166
162,ヘッダ部,UN01005763,ASBIE,,,,,,CI_ Trade_ Party. URI. CI_ Universal_ Communication,,,,,,,CI_ Trade_ Party. URI. CI_ Universal_ Communication,ram:EndPointURICIUniversalCommunication,送信者／国際EDIアドレスグループ,送信者の国際EDIアドレスグループ,1..1,v4,
163,ヘッダ部,UN01005857,ABIE,,,,,,,CI_ Universal_ Communication. Details,,,,,,CI_ Universal_ Communication. Details,ram:CIUniversalCommunicationType,国際EDIアドレスクラス,国際EDIアドレスクラス,－,v4,
164,ヘッダ部,UN01005859,BBIE,,,,,,,,CI_ Universal_ Communication. Channel. Code,,,,,CI_ Universal_ Communication. Channel. Code,ram:ChannelCode,国際EDIアドレス登録機関コード,国際EDIアドレス登録機関のコード,1..1,v4,ISO6523
165,ヘッダ部,UN01005860,BBIE,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,,,CI_ Universal_ Communication. Complete Number. Text,ram:CompleteNumber,国際EDIアドレス,国際EDIアドレス番号,1..1,v4,
166,ヘッダ部,UN01005917,ASBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Invoicee. CI_ Trade_ Party,,,,,,,,,CIIH_ Supply Chain_ Trade Settlement. Invoicee. CI_ Trade_ Party,ram:InvoiceeCITradeParty,インボイス文書決済／請求先グループ,請求先にかかわるグループ,0..1,v4, 
167,ヘッダ部,UN01005756,ABIE,,,,,CI_ Trade_ Party. Details,,,,,,,,CI_ Trade_ Party. Details,ram:CITradePartyType,請求先クラス,請求先に関する情報からなるクラス。,－,v4, 
168,ヘッダ部,UN01005757,BBIE,,,,,,CI_ Trade_ Party. Identification. Identifier,,,,,,,CI_ Trade_ Party. Identification. Identifier,ram:ID,請求先コード,請求を受ける企業等を表すコード。,0..1,v4, 
169,ヘッダ部,UN01005758,BBIE,,,,,,CI_ Trade_ Party. Global_ Identification. Identifier,,,,,,,CI_ Trade_ Party. Global_ Identification. Identifier,ram:GlobalID,請求先国際企業コード,請求を受ける企業等を表す法人コード。中小企業共通EDIは法人番号を利用,0..1,v4,コード表識別子
170,ヘッダ部,UN01005759,BBIE,,,,,,CI_ Trade_ Party. Name. Text,,,,,,,CI_ Trade_ Party. Name. Text,ram:Name,請求先名称,請求を受ける企業等の名称,0..1,v4,"言語コード
ISO639"
171,ヘッダ部,UN01005761,ASBIE,,,,,,CI_ Trade_ Party. Defined. CI_ Trade_ Contact,,,,,,,CI_ Trade_ Party. Defined. CI_ Trade_ Contact,ram:DefinedCITradeContact,請求先／連絡先グループ,請求先の連絡先に関するグループ,0..1,v4, 
172,ヘッダ部,UN01005718,ABIE,,,,,,,CI_ Trade_ Contact. Details,,,,,,CI_ Trade_ Contact. Details,ram:CITradeContactType,請求先連絡先クラス,連絡先に関する情報からなるクラス。,－,v4, 
173,ヘッダ部,UN01005719,BBIE,,,,,,,,CI_ Trade_ Contact. Identification. Identifier,,,,,CI_ Trade_ Contact. Identification. Identifier,ram:ID,請求先部門コード,請求先の部門を表すコード。,0..1,v2, 
174,ヘッダ部,UN01005720,BBIE,,,,,,,,CI_ Trade_ Contact. Person Name. Text,,,,,CI_ Trade_ Contact. Person Name. Text,ram:PersonName,請求先担当名,請求先の担当者の名称,0..1,v2,"言語コード
ISO639"
175,ヘッダ部,UN01005721,BBIE,,,,,,,,CI_ Trade_ Contact. Department Name. Text,,,,,CI_ Trade_ Contact. Department Name. Text,ram:DepartmentName,請求先部門名,請求先の部門を表す名称,0..1,v2,"言語コード
ISO639"
176,ヘッダ部,UN01005725,BBIE,,,,,,,,CI_ Trade_ Contact. Person_ Identification. Identifier,,,,,CI_ Trade_ Contact. Person_ Identification. Identifier,ram:PersonID,請求先担当コード,請求先個人を表すコード,0..1,v4, 
177,ヘッダ部,UN01005726,ASBIE,,,,,,,,CI_ Trade_ Contact. Telephone. CI_ Universal_ Communication,,,,,CI_ Trade_ Contact. Telephone. CI_ Universal_ Communication,ram:TelephoneCIUniversalCommunication,連絡先／電話情報グループ,連絡先の電話に関するグループ。,0..1,v2, 
178,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,CI_ Universal_ Communication. Details,ram:CIUniversalCommunicationType,電話通信クラス,通信（電話）に関する情報からなるクラス。,－,v2, 
179,ヘッダ部,UN01005860,BBIE,,,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,CI_ Universal_ Communication. Complete Number. Text,ram:CompleteNumber,請求先電話番号,請求先の電話番号。,0..1,v2, 
180,ヘッダ部,UN01005729,ASBIE,,,,,,,,CI_ Trade_ Contact. Fax. CI_ Universal_ Communication,,,,,CI_ Trade_ Contact. Fax. CI_ Universal_ Communication,ram:FaxCIUniversalCommunication,連絡先／FAX情報グループ,連絡先のFAXに関するグループ。,0..1,v1,　
181,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,CI_ Universal_ Communication. Details,ram:CIUniversalCommunicationType,FAX通信クラス,通信（FAX）に関する情報からなるクラス。,－,v1,　
182,ヘッダ部,UN01005860,BBIE,,,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,CI_ Universal_ Communication. Complete Number. Text,ram:CompleteNumber,請求先FAX番号,請求先のFAX番号,0..1,v1,　
183,ヘッダ部,UN01005730,ASBIE,,,,,,,,CI_ Trade_ Contact. Email_ URI. CI_ Universal_ Communication,,,,,CI_ Trade_ Contact. Email_ URI. CI_ Universal_ Communication,ram:EmailURICIUniversalCommunication,連絡先／電子メール情報グループ,連絡先の電子メールに関するグループ。,0..1,v4, 
184,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,CI_ Universal_ Communication. Details,ram:CIUniversalCommunicationType,電子メール通信クラス,通信（電子メール）に関する情報からなるクラス。,－,v4, 
185,ヘッダ部,UN01005858,BBIE,,,,,,,,,,CI_ Universal_ Communication. URI. Identifier,,,CI_ Universal_ Communication. URI. Identifier,ram:URIID,請求先メールアドレス,請求先の電子メールアドレス。,0..1,v4, 
186,ヘッダ部,UN01005762,ASBIE,,,,,,CI_ Trade_ Party. Postal. CI_ Trade_ Address,,,,,,,CI_ Trade_ Party. Postal. CI_ Trade_ Address,ram:PostalCITradeAddress,請求先／住所グループ,請求先の住所に関するグループ。,0..1,v4, 
187,ヘッダ部,UN01005687,ABIE,,,,,,,CI_ Trade_ Address. Details,,,,,,CI_ Trade_ Address. Details,ram:CITradeAddressType,請求先住所クラス,請求先住所に関する情報からなるクラス。,－,v4, 
188,ヘッダ部,UN01005689,BBIE,,,,,,,,CI_ Trade_ Address. Postcode. Code,,,,,CI_ Trade_ Address. Postcode. Code,ram:PostcodeCode,請求先郵便番号,請求先の郵便番号。,0..1,v4, 
189,ヘッダ部,UN01005692,BBIE,,,,,,,,CI_ Trade_ Address. Line One. Text,,,,,CI_ Trade_ Address. Line One. Text,ram:LineOne,請求先住所1,請求先の住所1行目。,0..1,v4,"言語コード
ISO639"
190,ヘッダ部,UN01005693,BBIE,,,,,,,,CI_ Trade_ Address. Line Two. Text,,,,,CI_ Trade_ Address. Line Two. Text,ram:LineTwo,請求先住所2,請求先の住所2行目。,0..1,v4,"言語コード
ISO639"
191,ヘッダ部,UN01005694,BBIE,,,,,,,,CI_ Trade_ Address. Line Three. Text,,,,,CI_ Trade_ Address. Line Three. Text,ram:LineThree,請求先住所3,請求先の住所3行目。,0..1,v4,"言語コード
ISO639"
192,ヘッダ部,UN01005700,BBIE,,,,,,,,CI_ Trade_ Address. Country. Identifier,,,,,CI_ Trade_ Address. Country. Identifier,ram:CountryID,請求先国識別子,請求先の国ID。デフォルトは「JP」,1..1,v4,ISO3166
193,ヘッダ部,UN01005765,ASBIE,,,,,,CI_ Trade_ Party. End Point_ URI. CI_ Universal_ Communication,,,,,,,CI_ Trade_ Party. End Point_ URI. CI_ Universal_ Communication,ram:EndPointURICIUniversalCommunication,送信者／国際EDIアドレスグループ,送信者の国際EDIアドレスグループ,1..1,,
194,ヘッダ部,UN01005857,ABIE,,,,,,,CI_ Universal_ Communication. Details,,,,,,CI_ Universal_ Communication. Details,ram:CIUniversalCommunicationType,国際EDIアドレスクラス,国際EDIアドレスクラス,－,v4,
195,ヘッダ部,UN01005859,BBIE,,,,,,,,CI_ Universal_ Communication. Channel. Code,,,,,CI_ Universal_ Communication. Channel. Code,ram:ChannelCode,国際EDIアドレス登録機関コード,国際EDIアドレス登録機関のコード,1..1,v4,ISO6523
196,ヘッダ部,UN01005860,BBIE,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,,,CI_ Universal_ Communication. Complete Number. Text,ram:CompleteNumber,国際EDIアドレス,国際EDIアドレス番号,1..1,v4,
197,ヘッダ部,UN01005918,ASBIE,,,,CIIH_ Supply Chain_ Trade Settlement. Payee. CI_ Trade_ Party,,,,,,,,,CIIH_ Supply Chain_ Trade Settlement. Payee. CI_ Trade_ Party,ram:PayeeCITradeParty,インボイス文書決済／支払先グループ,支払先にかかわる情報,0..1,v4, 
198,ヘッダ部,UN01005756,ABIE,,,,,CI_ Trade_ Party. Details,,,,,,,,CI_ Trade_ Party. Details,ram:CITradePartyType,支払先クラス,支払先に関する情報からなるクラス。,－,v4, 
199,ヘッダ部,UN01005757,BBIE,,,,,,CI_ Trade_ Party. Identification. Identifier,,,,,,,CI_ Trade_ Party. Identification. Identifier,ram:ID,支払先コード,支払先のコード。,0..1,v4, 
200,ヘッダ部,UN01005758,BBIE,,,,,,CI_ Trade_ Party. Global_ Identification. Identifier,,,,,,,CI_ Trade_ Party. Global_ Identification. Identifier,ram:GlobalID,支払先国際企業コード,支払先の国際企業コード。中小企業共通EDIでは法人番号を利用,0..1,v4,コード表識別子
201,ヘッダ部,UN01005759,BBIE,,,,,,CI_ Trade_ Party. Name. Text,,,,,,,CI_ Trade_ Party. Name. Text,ram:Name,支払先名称,支払先の企業等を表す名称。,0..1,v4,"言語コード
ISO639"
202,ヘッダ部,UN01005761,ASBIE,,,,,,CI_ Trade_ Party. Defined. CI_ Trade_ Contact,,,,,,,CI_ Trade_ Party. Defined. CI_ Trade_ Contact,ram:DefinedCITradeContact,支払先／連絡先グループ,支払先の連絡先に関するグループ,0..1,v4, 
203,ヘッダ部,UN01005718,ABIE,,,,,,,CI_ Trade_ Contact. Details,,,,,,CI_ Trade_ Contact. Details,ram:CITradeContactType,支払先連絡先クラス,連絡先に関する情報からなるクラス。,－,v4, 
204,ヘッダ部,UN01005719,BBIE,,,,,,,,CI_ Trade_ Contact. Identification. Identifier,,,,,CI_ Trade_ Contact. Identification. Identifier,ram:ID,支払先部門コード,支払先の支払先部門を表すコード。,0..1,v4, 
205,ヘッダ部,UN01005720,BBIE,,,,,,,,CI_ Trade_ Contact. Person Name. Text,,,,,CI_ Trade_ Contact. Person Name. Text,ram:PersonName,支払先担当名,支払先個人の、文字で表現された名前。,0..1,v4,"言語コード
ISO639"
206,ヘッダ部,UN01005721,BBIE,,,,,,,,CI_ Trade_ Contact. Department Name. Text,,,,,CI_ Trade_ Contact. Department Name. Text,ram:DepartmentName,支払先部門名,支払先の請求部門の名称。,0..1,v4,"言語コード
ISO639"
207,ヘッダ部,UN01005725,BBIE,,,,,,,,CI_ Trade_ Contact. Person_ Identification. Identifier,,,,,CI_ Trade_ Contact. Person_ Identification. Identifier,ram:PersonID,支払先担当コード,支払先個人を表すコード,0..1,v4, 
208,ヘッダ部,UN01005726,ASBIE,,,,,,,,CI_ Trade_ Contact. Telephone. CI_ Universal_ Communication,,,,,CI_ Trade_ Contact. Telephone. CI_ Universal_ Communication,ram:TelephoneCIUniversalCommunication,連絡先／電話情報グループ,連絡先の電話に関するグループ。,0..1,v4, 
209,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,CI_ Universal_ Communication. Details,ram:CIUniversalCommunicationType,電話通信クラス,通信（電話）に関する情報からなるクラス。,－,v4, 
210,ヘッダ部,UN01005860,BBIE,,,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,CI_ Universal_ Communication. Complete Number. Text,ram:CompleteNumber,支払先電話番号,支払先の電話番号。,0..1,v4, 
211,ヘッダ部,UN01005729,ASBIE,,,,,,,,CI_ Trade_ Contact. Fax. CI_ Universal_ Communication,,,,,CI_ Trade_ Contact. Fax. CI_ Universal_ Communication,ram:FaxCIUniversalCommunication,連絡先／FAX情報グループ,連絡先のFAXに関するグループ。,0..1,v4,　
212,ヘッダ部,UN01005857,ABIE,,,,,,,,,CI_ Universal_ Communication. Details,,,,CI_ Universal_ Communication. Details,ram:CIUniversalCommunicationType,FAX通信クラス,通信（FAX）に関する情報からなるクラス。,－,v4,　
213,ヘッダ部,UN01005860,BBIE,,,,,,,,,,CI_ Universal_ Communication. Complete Number. Text,,,CI_ Universal_ Communication. Complete Number. Text,ram:CompleteNumber,支払先FAX番号,支払先のFAX番号,0..1,v4,　
