SemSort,ID,,Level,Card,BT,Desc.,DT,SyntSort,Path,Typ,Card,Match,Rules
1890,,,,,,,,3150,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PostalCITradeAddress/ram:GlobalID,Element,0..n,"SYN-1,CAR-3","GlobalID, if global identifier exists and can be stated in @schemeID, ID else"
1900,BT-60–1,IBT-60–1,3,0..1,Payee identifier identification scheme identifier,The identification scheme identifier of the Payee identifier.,String,3160,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PostalCITradeAddress/ram:GlobalID/@schemeID,Attribute,,,
1910,BT-61,IBT-061,2,0..1,Payee legal registration identifier,An identifier issued by an official registrar that identifies the Payee as a legal entity or person.,Identifier,3190,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PostalCITradeAddress/ram:SpecifiedCILegalOrganization/ram:ID,Element,0..1,,
1920,BT-61–1,IBT-61–1,3,0..1,Payee legal registration identifier identification scheme identifier,The identification scheme identifier of the Payee legal registration identifier.,String,3200,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PostalCITradeAddress/ram:SpecifiedCILegalOrganization/ram:ID/@schemeID,Attribute,,,
1930,BG-11,IBG-11,1,0..1,SELLER TAX REPRESENTATIVE PARTY,A group of business terms providing information about the Seller's tax representative.,,2550,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerTaxRepresentativeTradeParty,Element,0..1,,
1940,BT-62,IBT-062,2,1..1,Seller tax representative name,The full name of the Seller's tax representative party.,Text,2560,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:Name,Element,0..1,,
1950,BT-63,IBT-063,2,1..1,Seller tax representative VAT identifier,The VAT identifier of the Seller's tax representative party.,Identifier,2660,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:SpecifiedCITaxRegistration/ram:ID[@schemeID='VA'],Element,0..1,CAR-3,@schemeID=”VA”
1960,BG-12,IBG-12,2,1..1,SELLER TAX REPRESENTATIVE POSTAL ADDRESS,A group of business terms providing information about the postal address for the tax representative party.,,2570,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalCITradeAddress,Element,0..1,,
1970,BT-64,IBT-064,3,0..1,Tax representative address line 1,The main address line in an address.,Text,2590,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalCITradeAddress/ram:LineOne,Element,0..1,,
1980,BT-65,IBT-065,3,0..1,Tax representative address line 2,An additional address line in an address that can be used to give further details supplementing the main line.,Text,2600,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalCITradeAddress/ram:LineTwo,Element,0..1,,
1990,BT-164,IBT-164,3,0..1,Tax representative address line 3,An additional address line in an address that can be used to give further details supplementing the main line.,Text,2610,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalCITradeAddress/ram:LineThree,Element,0..1,,
2000,BT-66,IBT-066,3,0..1,Tax representative city,"The common name of the city, town or village, where the tax representative address is located.",Text,2620,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalCITradeAddress/ram:CityName,Element,0..1,,
2010,BT-67,IBT-067,3,0..1,Tax representative post code,The identifier for an addressable group of properties according to the relevant postal service.,Text,2580,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalCITradeAddress/ram:PostcodeCode,Element,0..1,,
2020,BT-68,IBT-068,3,0..1,Tax representative country subdivision,The subdivision of a country.,Text,2640,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalCITradeAddress/ram:CountrySubDivisionName,Element,0..n,CAR-3,
2030,BT-69,IBT-069,3,1..1,Tax representative country code,A code that identifies the country.,Code,2630,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeAgreement/ram:SellerTaxRepresentativeTradeParty/ram:PostalCITradeAddress/ram:CountryID,Element,0..1,,
2040,BG-13,IBG-13,1,0..1,DELIVERY INFORMATION,A group of business terms providing information about where and when the goods and services invoiced are delivered.,,2870,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeDelivery/ram:ShipToCITradeParty,Element,0..1,STR-3,
2050,BT-70,IBT-070,2,0..1,Deliver to party name,The name of the party to which the goods and services are delivered.,Text,2910,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeDelivery/ram:ShipToCITradeParty/ram:Name,Element,0..1,,
2060,BT-71,IBT-071,2,0..1,Deliver to location identifier,An identifier for the location at which the goods and services are delivered.,Identifier,2880,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeDelivery/ram:ShipToCITradeParty/ram:ID,Element,0..n,"SYN-1,CAR-3","GlobalID, if global identifier exists and can be stated in @schemeID, ID else"
2070,,,,,,,,2890,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeDelivery/ram:ShipToCITradeParty/ram:GlobalID,Element,0..n,"SYN-1,CAR-3","GlobalID, if global identifier exists and can be stated in @scheme ID, ID else"
2080,BT-71–1,IBT-71–1,3,0..1,Deliver to location identifier identification scheme identifier,The identification scheme identifier of the Deliver to location identifier.,String,2900,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeDelivery/ram:ShipToCITradeParty/ram:GlobalID/@schemeID,Attribute,,,
2090,BT-72,IBT-072,2,0..1,Actual delivery date,The date on which the delivery is made.,Date,3020,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeDelivery/ram:ActualDeliveryCISupplyChainEvent/ram:OccurrenceDateTime/udt:DateTimeString[@format='102'],Element,1..1,,@format=”102”
2100,BG-14,IBG-14,2,0..1,DELIVERY OR INVOICE PERIOD,A group of business terms providing information on the invoice period.,,3490,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:BillingCISpecifiedPeriod,Element,0..1,,
2110,BT-73,IBT-073,3,0..1,Invoicing period start date,The date when the Invoice period starts.,Date,3510,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:BillingCISpecifiedPeriod/ram:StartDateTime/udt:DateTimeString[@format='102'],Element,1..1,"SYN-2,CAR-2",@format=”102”
2120,,,,,,,,3520,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:BillingCISpecifiedPeriod/ram:StartDateTime/udt:DateTimeString[@format='102']/@format,Attribute,,,Only value “102”
2130,BT-74,IBT-074,3,0..1,Invoicing period end date,The date when the Invoice period ends.,Date,3540,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:BillingCISpecifiedPeriod/ram:EndDateTime/udt:DateTimeString[@format='102'],Element,1..1,"SYN-2,CAR-2",@format=”102”
2140,,,,,,,,3550,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:BillingCISpecifiedPeriod/ram:EndDateTime/udt:DateTimeString[@format='102']/@format,Attribute,,,Only value “102”
2150,BG-15,IBG-15,2,0..1,DELIVER TO ADDRESS,A group of business terms providing information about the address to which goods and services invoiced were or are delivered.,,2920,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeDelivery/ram:ShipToCITradeParty/ram:PostalCITradeAddress,Element,0..1,,
2160,BT-75,IBT-075,3,0..1,Deliver to address line 1,The main address line in an address.,Text,2940,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeDelivery/ram:ShipToCITradeParty/ram:PostalCITradeAddress/ram:LineOne,Element,0..1,,
2170,BT-76,IBT-076,3,0..1,Deliver to address line 2,An additional address line in an address that can be used to give further details supplementing the main line.,Text,2950,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeDelivery/ram:ShipToCITradeParty/ram:PostalCITradeAddress/ram:LineTwo,Element,0..1,,
2180,BT-165,IBT-165,3,0..1,Deliver to address line 3,An additional address line in an address that can be used to give further details supplementing the main line.,Text,2960,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeDelivery/ram:ShipToCITradeParty/ram:PostalCITradeAddress/ram:LineThree,Element,0..1,,
2190,BT-77,IBT-077,3,0..1,Deliver to city,"The common name of the city, town or village, where the deliver to address is located.",Text,2970,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeDelivery/ram:ShipToCITradeParty/ram:PostalCITradeAddress/ram:CityName,Element,0..1,,
2200,BT-78,IBT-078,3,0..1,Deliver to post code,The identifier for an addressable group of properties according to the relevant postal service.,Text,2930,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeDelivery/ram:ShipToCITradeParty/ram:PostalCITradeAddress/ram:PostcodeCode,Element,0..1,,
2210,BT-79,IBT-079,3,0..1,Deliver to country subdivision,The subdivision of a country.,Text,2990,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeDelivery/ram:ShipToCITradeParty/ram:PostalCITradeAddress/ram:CountrySubDivisionName,Element,0..n,CAR-3,
2220,BT-80,IBT-080,3,1..1,Deliver to country code,A code that identifies the country.,Code,2980,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeDelivery/ram:ShipToCITradeParty/ram:PostalCITradeAddress/ram:CountryID,Element,0..1,,
2230,BG-16,IBG-16,1,0..1,PAYMENT INSTRUCTIONS,A group of business terms providing information about the payment.,,3210,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeSettlementPaymentMeans,Element,0..n,STR-3,
2240,BT-81,IBT-081,2,1..1,Payment means type code,"The means, expressed as code, for how a payment is expected to be or has been settled.",Code,3220,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeSettlementPaymentMeans/ram:TypeCode,Element,0..1,CAR-2,
2250,BT-82,IBT-082,2,0..1,Payment means text,"The means, expressed as text, for how a payment is expected to be or has been settled.",Text,3230,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeSettlementPaymentMeans/ram:Information,Element,0..n,CAR-3,
2260,BT-83,IBT-083,2,0..1,Remittance information,"A textual value used to establish a link between the payment and the Invoice, issued by the Seller.",Text,3100,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:PaymentReference,Element,0..n,CAR-3,
2270,BG-17,IBG-17,2,0..n,CREDIT TRANSFER,A group of business terms to specify credit transfer payments.,,3290,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeSettlementPaymentMeans/ram:PayeePartyCICreditorFinancialAccount,Element,0..1,"STR-3,CAR-4",
2280,BT-84,IBT-084,3,1..1,Payment account identifier,"A unique identifier of the financial payment account, at a payment service provider, to which payment should be made.",Identifier,3300,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeSettlementPaymentMeans/ram:PayeePartyCICreditorFinancialAccount/ram:IBANID,Element,0..1,"CAR-2,SEM-2","Use IBANID if applicable, ProprietaryID else"
2290,,,,,,,,3320,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeSettlementPaymentMeans/ram:PayeePartyCICreditorFinancialAccount/ram:ProprietaryID,Element,0..1,"CAR-2,SEM-2","Use IBANID if applicable, ProprietaryID else"
2300,BT-85,IBT-085,3,0..1,Payment account name,"The name of the payment account, at a payment service provider, to which payment should be made.",Text,3310,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeSettlementPaymentMeans/ram:PayeePartyCICreditorFinancialAccount/ram:AccountName,Element,0..1,,
2310,BT-86,IBT-086,3,0..1,Payment service provider identifier,An identifier for the payment service provider where a payment account is located.,Identifier,3360,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeSettlementPaymentMeans/ram:PayeeSpecifiedCICreditorFinancialInstitution/ram:BICID,Element,0..1,,Use for direct debit
2320,,,,,,,,3360,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeSettlementPaymentMeans/ram:PayeeSpecifiedCICreditorFinancialInstitution/ram:BICID,Element,0..1,STR-3,Use for credit transfer
2330,BG-18,IBG-18,2,0..1,PAYMENT CARD INFORMATION,A group of business terms providing information about card used for payment contemporaneous with invoice issuance.,,3240,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeSettlementPaymentMeans/ram:ApplicableTradeSettlementFinancialCard,Element,0..1,,
2340,BT-87,IBT-087,3,1..1,Payment card primary account number,The Primary Account Number (PAN) of the card used for payment.,Text,3250,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeSettlementPaymentMeans/ram:ApplicableTradeSettlementFinancialCard/ram:ID,Element,0..1,CAR-2,
2350,BT-88,IBT-088,3,0..1,Payment card holder name,The name of the payment card holder.,Text,3260,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeSettlementPaymentMeans/ram:ApplicableTradeSettlementFinancialCard/ram:CardholderName,Element,0..1,,
2360,BG-19,IBG-19,2,0..1,DIRECT DEBIT,A group of business terms to specify a direct debit.,,3080,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement,Element,1..1,STR-3,
2370,BT-89,IBT-089,3,0..1,Mandate reference identifier,Unique identifier assigned by the Payee for referencing the direct debit mandate.,Identifier,3850,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradePaymentTerms/ram:DirectDebitMandateID,Element,0..n,,
2380,BT-90,IBT-090,3,0..1,Bank assigned creditor identifier,Unique banking reference identifier of the Payee or Seller assigned by the Payee or Seller bank.,Identifier,3090,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:CreditorReferenceID,Element,0..1,,
2390,BT-91,IBT-091,3,0..1,Debited account identifier,The account to be debited by the direct debit.,Identifier,3280,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeSettlementPaymentMeans/ram:PayerPartyDebtorFinancialAccount/ram:IBANID,Element,0..1,,
2400,BG-20,IBG-20,1,0..n,DOCUMENT LEVEL ALLOWANCES,A group of business terms providing information about allowances applicable to the Invoice as a whole.,,3560,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator=false()],Element,0..n,STR-4,ChargeIndicator=false
2410,BT-92,IBT-092,2,1..1,Document level allowance amount,"The amount of an allowance, without VAT.",Amount,3610,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator=false()]/ram:ActualAmount,Element,0..n,"CAR-2,CAR-3",
2420,BT-93,IBT-093,2,0..1,Document level allowance base amount,"The base amount that may be used, in conjunction with the document level allowance percentage, to calculate the document level allowance amount.",Amount,3600,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator=false()]/ram:BasisAmount,Element,0..1,,
2430,BT-94,IBT-094,2,0..1,Document level allowance percentage,"The percentage that may be used, in conjunction with the document level allowance base amount, to calculate the document level allowance amount.",Percentage,3590,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator=false()]/ram:CalculationPercent,Element,0..1,,
2440,BT-95,IBT-095,2,1..1,Document level allowance VAT category code,A coded identification of what VAT category applies to the document level allowance.,Code,3650,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator=false()]/ram:CategoryCITradeTax/ram:TypeCode,Element,0..1,Fixed value “VAT”,
2450,,,,,,,,3660,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator=false()]/ram:CategoryCITradeTax/ram:CategoryCode,Element,0..1,,
2460,BT-96,IBT-096,2,0..1,Document level allowance VAT rate,"The VAT rate, represented as percentage that applies to the document level allowance.",Percentage,3670,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator=false()]/ram:CategoryCITradeTax/ram:RateApplicablePercent,Element,0..1,,
2470,BT-97,IBT-097,2,0..1,Document level allowance reason,"The reason for the document level allowance, expressed as text.",Text,3630,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator=false()]/ram:Reason,Element,0..1,,
2480,BT-98,IBT-098,2,0..1,Document level allowance reason code,"The reason for the document level allowance, expressed as a code.",Code,3620,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator=false()]/ram:ReasonCode,Element,0..1,,
2490,BG-21,IBG-21,1,0..n,DOCUMENT LEVEL CHARGES,"A group of business terms providing information about charges and taxes other than VAT, applicable to the Invoice as a whole.",,3680,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator=true()],Element,0..n,STR-4,ChargeIndicator=true
2500,BT-99,IBT-099,2,1..1,Document level charge amount,"The amount of a charge, without VAT.",Amount,3730,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator=true()]/ram:ActualAmount,Element,0..n,"CAR-2,CAR-3",
2510,BT-100,IBT-100,2,0..1,Document level charge base amount,"The base amount that may be used, in conjunction with the document level charge percentage, to calculate the document level charge amount.",Amount,3720,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator=true()]/ram:BasisAmount,Element,0..1,,
2520,BT-101,IBT-101,2,0..1,Document level charge percentage,"The percentage that may be used, in conjunction with the document level charge base amount, to calculate the document level charge amount.",Percentage,3710,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator=true()]/ram:CalculationPercent,Element,0..1,,
2530,BT-102,IBT-102,2,1..1,Document level charge VAT category code,A coded identification of what VAT category applies to the document level charge.,Code,3770,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator=true()]/ram:CategoryCITradeTax/ram:TypeCode,Element,0..1,,Fixed value “VAT”
2540,,,,,,,,3780,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator=true()]/ram:CategoryCITradeTax/ram:CategoryCode,Element,0..1,,
2550,BT-103,IBT-103,2,0..1,Document level charge VAT rate,"The VAT rate, represented as percentage that applies to the document level charge.",Percentage,3790,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator=true()]/ram:CategoryCITradeTax/ram:RateApplicablePercent,Element,0..1,,
2560,BT-104,IBT-104,2,0..1,Document level charge reason,"The reason for the document level charge, expressed as text.",Text,3750,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator=true()]/ram:Reason,Element,0..1,,
2570,BT-105,IBT-105,2,0..1,Document level charge reason code,"The reason for the document level charge, expressed as a code.",Code,3740,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCITradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator=true()]/ram:ReasonCode,Element,0..1,,
2580,BG-22,IBG-22,1,1..1,DOCUMENT TOTALS,A group of business terms providing the monetary totals for the Invoice.,,3860,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCIIHTradeSettlementMonetarySummation,Element,0..1,,
2590,BT-106,IBT-106,2,1..1,Sum of Invoice line net amount,Sum of all Invoice line net amounts in the Invoice.,Amount,3870,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCIIHTradeSettlementMonetarySummation/ram:LineTotalAmount,Element,0..n,"CAR-2,CAR-3",
2600,BT-107,IBT-107,2,0..1,Sum of allowances on document level,Sum of all allowances on document level in the Invoice.,Amount,3890,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCIIHTradeSettlementMonetarySummation/ram:AllowanceTotalAmount,Element,0..n,CAR-3,
2610,BT-108,IBT-108,2,0..1,Sum of charges on document level,Sum of all charges on document level in the Invoice.,Amount,3880,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCIIHTradeSettlementMonetarySummation/ram:ChargeTotalAmount,Element,0..n,CAR-3,
2620,BT-109,IBT-109,2,1..1,Invoice total amount without VAT,The total amount of the Invoice without VAT.,Amount,3900,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCIIHTradeSettlementMonetarySummation/ram:TaxBasisTotalAmount,Element,0..n,"CAR-2,CAR-3",
2630,BT-110,IBT-110,2,0..1,Invoice total VAT amount,The total VAT amount for the Invoice.,Amount,3910,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCIIHTradeSettlementMonetarySummation/ram:TaxTotalAmount,Element,0..n,"STR-4,CAR-3",@currencyID is mandatory to differentiate between VAT amount and VAT amount in accounting currency.
2640,BT-111,IBT-111,2,0..1,Invoice total VAT amount in accounting currency,The VAT total amount expressed in the accounting currency accepted or required in the country of the Seller.,Amount,3910,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCIIHTradeSettlementMonetarySummation/ram:TaxTotalAmount,Element,0..n,"STR-4,CAR-3",@currencyID is mandatory to differentiate between VAT amount and VAT amount in accounting currency.
2650,BT-112,IBT-112,2,1..1,Invoice total amount with VAT,The total amount of the Invoice with VAT.,Amount,3940,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCIIHTradeSettlementMonetarySummation/ram:GrandTotalAmount,Element,0..n,"CAR-2,CAR-3",
2660,BT-113,IBT-113,2,0..1,Paid amount,The sum of amounts which have been paid in advance.,Amount,3950,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCIIHTradeSettlementMonetarySummation/ram:TotalPrepaidAmount,Element,0..n,CAR-3,
2670,BT-114,IBT-114,2,0..1,Rounding amount,The amount to be added to the invoice total to round the amount to be paid.,Amount,3930,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCIIHTradeSettlementMonetarySummation/ram:RoundingAmount,Element,0..n,CAR-3,
2680,BT-115,IBT-115,2,1..1,Amount due for payment,The outstanding amount that is requested to be paid.,Amount,3960,/rsm:SMEinvoice/rsm:CIIHSupplyChainTradeTransaction/ram:ApplicableCIIHSupplyChainTradeSettlement/ram:SpecifiedCIIHTradeSettlementMonetarySummation/ram:DuePayableAmount,Element,0..n,"CAR-2,CAR-3",
